"",BBK01.OECB01P,BBK01.OECB01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:10,
2002-01,2.027,
2002-04,2.029,
2002-07,2.050,
2002-10,1.505,
2003-01,1.626,
2003-04,1.470,
2003-07,1.620,
2003-10,1.593,
2004-01,1.532,
2004-04,1.482,
2004-07,1.516,
2004-10,1.447,
2005-01,1.620,
2005-04,1.650,
2005-07,1.650,
2005-10,1.581,
2006-01,1.550,
2006-04,1.592,
2006-07,1.596,
2006-10,1.598,
2007-01,1.607,
2007-04,1.605,
2007-07,1.579,
2007-10,1.623,
2008-01,1.609,
2008-04,1.588,
2008-07,1.504,
2008-10,1.468,
2009-01,1.444,
2009-04,1.778,
2009-07,1.759,
2009-10,1.765,
2010-01,1.785,
2010-04,1.764,
2010-07,1.615,
2010-10,1.712,
2011-01,1.731,
2011-04,1.698,
2011-07,1.742,
2011-10,1.679,
2012-01,1.694,
2012-04,1.656,
2012-07,1.681,
2012-10,1.513,
2013-01,1.565,
2013-04,1.558,
2013-07,1.635,
2013-10,1.731,
2014-01,1.752,
2014-04,1.728,
2014-07,1.710,
