"",BBK01.OEAF13O,BBK01.OEAF13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:57,
2002-01,0.306,
2002-04,0.264,
2002-07,0.272,
2002-10,0.288,
2003-01,0.263,
2003-04,0.264,
2003-07,0.253,
2003-10,0.235,
2004-01,0.234,
2004-04,0.245,
2004-07,0.244,
2004-10,0.234,
2005-01,0.216,
2005-04,0.224,
2005-07,0.217,
2005-10,0.283,
2006-01,0.247,
2006-04,0.262,
2006-07,0.274,
2006-10,0.267,
2007-01,0.289,
2007-04,0.326,
2007-07,0.343,
2007-10,0.347,
2008-01,0.396,
2008-04,0.222,
2008-07,0.246,
2008-10,0.277,
2009-01,0.253,
2009-04,0.260,
2009-07,0.257,
2009-10,0.229,
2010-01,0.248,
2010-04,0.217,
2010-07,0.242,
2010-10,0.223,
2011-01,0.250,
2011-04,0.260,
2011-07,0.271,
2011-10,0.298,
2012-01,0.299,
2012-04,0.274,
2012-07,0.322,
2012-10,0.316,
2013-01,0.260,
2013-04,0.273,
2013-07,0.283,
2013-10,0.284,
2014-01,0.291,
2014-04,0.294,
2014-07,0.282,
