"",BBK01.OEBI05J,BBK01.OEBI05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:39,
2002-01,0.148,
2002-04,0.149,
2002-07,0.147,
2002-10,0.147,
2003-01,0.142,
2003-04,0.133,
2003-07,0.120,
2003-10,0.118,
2004-01,0.109,
2004-04,0.099,
2004-07,0.090,
2004-10,0.084,
2005-01,0.111,
2005-04,0.112,
2005-07,0.104,
2005-10,0.102,
2006-01,0.097,
2006-04,0.101,
2006-07,0.100,
2006-10,0.094,
2007-01,0.093,
2007-04,0.089,
2007-07,0.086,
2007-10,0.082,
2008-01,0.084,
2008-04,0.071,
2008-07,0.075,
2008-10,0.074,
2009-01,0.105,
2009-04,0.107,
2009-07,0.113,
2009-10,0.118,
2010-01,0.123,
2010-04,0.120,
2010-07,0.122,
2010-10,0.120,
2011-01,0.109,
2011-04,0.103,
2011-07,0.096,
2011-10,0.093,
2012-01,0.098,
2012-04,4.650,
2012-07,4.469,
2012-10,4.318,
2013-01,4.172,
2013-04,2.642,
2013-07,1.702,
2013-10,1.666,
2014-01,0.110,
2014-04,0.142,
2014-07,0.133,
