"",BBK01.SUD116S,BBK01.SUD116S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Housing loans to households with floating rate or an initial rate fixation up to 1 year,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:58,
2000-01,5.8011,Estimated value
2000-02,5.8865,Estimated value
2000-03,5.9055,Estimated value
2000-04,5.9435,Estimated value
2000-05,6.1619,Estimated value
2000-06,6.2283,Estimated value
2000-07,6.3328,Estimated value
2000-08,6.3613,Estimated value
2000-09,6.4467,Estimated value
2000-10,6.4942,Estimated value
2000-11,6.5132,Estimated value
2000-12,6.4657,Estimated value
2001-01,6.3803,Estimated value
2001-02,6.3708,Estimated value
2001-03,6.3328,Estimated value
2001-04,6.3043,Estimated value
2001-05,6.3233,Estimated value
2001-06,6.3043,Estimated value
2001-07,6.3043,Estimated value
2001-08,6.2378,Estimated value
2001-09,6.1239,Estimated value
2001-10,5.9815,Estimated value
2001-11,5.8106,Estimated value
2001-12,5.8391,Estimated value
2002-01,5.8201,Estimated value
2002-02,5.8296,Estimated value
2002-03,5.8486,Estimated value
2002-04,5.9435,Estimated value
2002-05,5.9055,Estimated value
2002-06,5.8960,Estimated value
2002-07,5.8201,Estimated value
2002-08,5.7346,Estimated value
2002-09,5.7156,Estimated value
2002-10,5.6302,Estimated value
2002-11,5.6017,Estimated value
2002-12,5.5352,Estimated value
