"",BBFB1.Q.N.DE.A5.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:59,
1991-01,168.372,
1991-04,171.505,
1991-07,201.111,
1991-10,190.628,
1992-01,170.631,
1992-04,173.665,
1992-07,216.314,
1992-10,226.662,
1993-01,210.775,
1993-04,231.251,
1993-07,243.789,
1993-10,249.095,
1994-01,264.887,
1994-04,254.738,
1994-07,201.861,
1994-10,309.443,
1995-01,232.800,
1995-04,227.450,
1995-07,260.275,
1995-10,337.338,
1996-01,168.543,
1996-04,184.431,
1996-07,174.616,
1996-10,190.809,
1997-01,202.386,
1997-04,181.912,
1997-07,242.323,
1997-10,287.578,
1998-01,265.582,
1998-04,283.847,
1998-07,289.026,
1998-10,396.043,
1999-01,220.580,
1999-04,280.582,
1999-07,264.340,
1999-10,332.956,
2000-01,257.528,
2000-04,247.680,
2000-07,251.460,
2000-10,418.099,
2001-01,188.742,
2001-04,193.281,
2001-07,225.597,
2001-10,436.944,
2002-01,418.056,
2002-04,451.779,
2002-07,510.771,
2002-10,441.459,
2003-01,249.217,
2003-04,502.578,
2003-07,347.799,
2003-10,367.412,
2004-01,289.490,
2004-04,360.497,
2004-07,392.953,
2004-10,419.810,
2005-01,540.443,
2005-04,527.288,
2005-07,548.851,
2005-10,606.411,
2006-01,446.550,
2006-04,541.247,
2006-07,534.003,
2006-10,591.382,
2007-01,538.964,
2007-04,589.192,
2007-07,631.298,
2007-10,712.856,
2008-01,708.911,
2008-04,756.290,
2008-07,839.481,
2008-10,910.983,
2009-01,714.235,
2009-04,685.402,
2009-07,803.002,
2009-10,709.326,
2010-01,606.985,
2010-04,719.049,
2010-07,770.737,
2010-10,748.936,
2011-01,604.104,
2011-04,662.443,
2011-07,697.875,
2011-10,774.465,
2012-01,672.475,
2012-04,770.336,
2012-07,827.248,
2012-10,839.899,
2013-01,690.048,
2013-04,877.387,
2013-07,848.693,
2013-10,830.407,
2014-01,771.033,Provisional value
2014-04,1042.604,Provisional value
2014-07,973.167,Provisional value
