"",BBFN1.M.DE.N.1.A.W1.S1P.FH.T.BN00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.FH.T.BN00.EUR.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:54,
1974-12,24.232,
1975-01,24.084,
1975-02,24.229,
1975-03,24.600,
1975-04,24.357,
1975-05,24.582,
1975-06,24.719,
1975-07,23.584,
1975-08,23.338,
1975-09,23.848,
1975-10,24.074,
1975-11,24.461,
1975-12,24.372,
1976-01,24.475,
1976-02,25.023,
1976-03,25.666,
1976-04,26.148,
1976-05,26.709,
1976-06,27.792,
1976-07,27.492,
1976-08,27.225,
1976-09,28.014,
1976-10,28.344,
1976-11,28.568,
1976-12,29.251,
1977-01,29.443,
1977-02,30.313,
1977-03,31.159,
1977-04,31.343,
1977-05,31.612,
1977-06,31.573,
1977-07,31.165,
1977-08,30.675,
1977-09,31.442,
1977-10,31.544,
1977-11,31.944,
1977-12,31.382,
1978-01,31.079,
1978-02,31.895,
1978-03,32.067,
1978-04,32.035,
1978-05,31.772,
1978-06,32.532,
1978-07,31.724,
1978-08,31.570,
1978-09,32.740,
1978-10,33.265,
1978-11,32.988,
1978-12,33.038,
1979-01,33.137,
1979-02,33.588,
1979-03,34.803,
1979-04,34.845,
1979-05,35.978,
1979-06,36.050,
1979-07,35.534,
1979-08,35.668,
1979-09,36.411,
1979-10,37.402,
1979-11,37.432,
1979-12,36.671,
1980-01,37.384,
1980-02,38.072,
1980-03,39.339,
1980-04,39.429,
1980-05,39.975,
1980-06,40.319,
1980-07,39.727,
1980-08,39.171,
1980-09,40.021,
1980-10,40.283,
1980-11,40.993,
1980-12,40.772,
1981-01,40.193,
1981-02,41.790,
1981-03,42.998,
1981-04,43.472,
1981-05,43.278,
1981-06,43.525,
1981-07,43.805,
1981-08,43.028,
1981-09,43.832,
1981-10,45.120,
1981-11,45.787,
1981-12,44.629,
1982-01,45.684,
1982-02,47.357,
1982-03,47.749,
1982-04,48.115,
1982-05,49.155,
1982-06,49.189,
1982-07,48.391,
1982-08,47.391,
1982-09,48.429,
1982-10,49.114,
1982-11,49.556,
1982-12,47.830,
1983-01,47.459,
1983-02,47.803,
1983-03,47.915,
1983-04,48.494,
1983-05,49.182,
1983-06,49.613,
1983-07,48.833,
1983-08,48.120,
1983-09,49.806,
1983-10,49.793,
1983-11,50.634,
1983-12,49.361,
1984-01,50.297,
1984-02,51.722,
1984-03,52.972,
1984-04,52.638,
1984-05,53.663,
1984-06,51.675,
1984-07,51.820,
1984-08,51.781,
1984-09,53.266,
1984-10,54.433,
1984-11,55.704,
1984-12,54.895,
1985-01,54.872,
1985-02,56.278,
1985-03,58.513,
1985-04,60.073,
1985-05,60.381,
1985-06,60.981,
1985-07,59.954,
1985-08,58.031,
1985-09,59.566,
1985-10,61.640,
1985-11,61.366,
1985-12,59.378,
1986-01,62.205,
1986-02,63.975,
1986-03,68.598,
1986-04,72.734,
1986-05,72.823,
1986-06,71.845,
1986-07,72.703,
1986-08,71.579,
1986-09,72.898,
1986-10,75.537,
1986-11,75.326,
1986-12,70.742,
1987-01,73.162,
1987-02,73.944,
1987-03,74.455,
1987-04,75.915,
1987-05,75.457,
1987-06,74.510,
1987-07,75.417,
1987-08,74.573,
1987-09,76.156,
1987-10,79.091,
1987-11,78.145,
1987-12,74.001,
1988-01,77.528,
1988-02,78.299,
1988-03,81.225,
1988-04,81.716,
1988-05,82.435,
1988-06,81.455,
1988-07,80.480,
1988-08,80.133,
1988-09,81.007,
1988-10,82.898,
1988-11,81.399,
1988-12,78.254,
1989-01,84.896,
1989-02,86.822,
1989-03,88.323,
1989-04,91.615,
1989-05,93.211,
1989-06,93.443,
1989-07,92.085,
1989-08,91.477,
1989-09,92.888,
1989-10,99.459,
1989-11,102.693,
1989-12,98.062,
1990-01,103.408,
1990-02,104.776,
1990-03,108.521,
1990-04,109.250,
1990-05,110.104,
1990-06,109.054,
1990-07,108.197,
1990-08,107.900,
1990-09,109.902,
1990-10,114.092,
1990-11,113.146,
1990-12,109.022,
1991-01,114.073,
1991-02,114.912,
1991-03,119.234,
1991-04,122.408,
1991-05,121.155,
1991-06,120.739,
1991-07,121.509,
1991-08,117.557,
1991-09,117.644,
1991-10,122.069,
1991-11,121.390,
1991-12,113.362,
1992-01,117.408,
1992-02,119.054,
1992-03,120.293,
1992-04,122.446,
1992-05,121.181,
1992-06,121.091,
1992-07,118.829,
1992-08,116.463,
1992-09,116.434,
1992-10,123.207,
1992-11,122.627,
1992-12,116.930,
1993-01,122.542,
1993-02,126.014,
1993-03,128.317,
1993-04,131.822,
1993-05,128.929,
1993-06,129.026,
1993-07,130.935,
1993-08,127.488,
1993-09,131.312,
1993-10,141.462,
1993-11,141.741,
1993-12,136.686,
1994-01,144.923,
1994-02,140.055,
1994-03,145.954,
1994-04,145.287,
1994-05,145.039,
1994-06,141.659,
1994-07,144.040,
1994-08,143.204,
1994-09,145.802,
1994-10,155.066,
1994-11,157.127,
1994-12,151.932,
1995-01,156.899,
1995-02,154.900,
1995-03,154.422,
1995-04,157.359,
1995-05,159.481,
1995-06,159.332,
1995-07,159.546,
1995-08,154.298,
1995-09,155.782,
1995-10,157.693,
1995-11,155.813,
1995-12,143.324,
1996-01,146.798,
1996-02,146.976,
1996-03,149.372,
1996-04,152.594,
1996-05,153.002,
1996-06,148.972,
1996-07,147.095,
1996-08,143.483,
1996-09,143.411,
1996-10,147.098,
1996-11,150.872,
1996-12,144.016,
1997-01,153.186,
1997-02,156.850,
1997-03,158.217,
1997-04,159.348,
1997-05,155.783,
1997-06,152.971,
1997-07,155.491,
1997-08,150.305,
1997-09,153.704,
1997-10,155.756,
1997-11,154.017,
1997-12,145.453,
1998-01,157.623,
1998-02,160.982,
1998-03,162.134,
1998-04,167.760,
1998-05,164.272,
1998-06,161.403,
1998-07,164.255,
1998-08,160.509,
1998-09,164.210,
1998-10,170.173,
1998-11,163.555,
1998-12,154.884,
1999-01,166.382,
1999-02,173.262,
1999-03,180.799,
1999-04,182.084,
1999-05,185.780,
1999-06,192.800,
1999-07,189.171,
1999-08,185.985,
1999-09,187.545,
1999-10,187.006,
1999-11,186.595,
1999-12,178.100,
2000-01,187.340,
2000-02,193.500,
2000-03,203.369,
2000-04,203.702,
2000-05,210.654,
2000-06,197.889,
2000-07,201.463,
2000-08,217.167,
2000-09,205.864,
2000-10,208.810,
2000-11,210.679,
2000-12,200.838,
2001-01,221.020,
2001-02,231.132,
2001-03,236.061,
2001-04,237.308,
2001-05,242.108,
2001-06,241.857,
2001-07,241.465,
2001-08,230.865,
2001-09,229.266,
2001-10,231.567,
2001-11,234.177,
2001-12,228.936,
2002-01,239.451,
2002-02,235.964,
2002-03,229.028,
2002-04,237.796,
2002-05,244.592,
2002-06,236.739,
2002-07,236.674,
2002-08,236.511,
2002-09,243.955,
2002-10,246.804,
2002-11,240.904,
2002-12,229.645,
2003-01,244.554,
2003-02,250.740,
2003-03,260.551,
2003-04,271.659,
2003-05,275.250,
2003-06,270.269,
2003-07,274.469,
2003-08,260.583,
2003-09,267.733,
2003-10,272.516,
2003-11,271.464,
2003-12,259.799,
2004-01,273.529,
2004-02,274.091,
2004-03,283.591,
2004-04,278.997,
2004-05,275.211,
2004-06,281.922,
2004-07,281.730,
2004-08,278.788,
2004-09,284.681,
2004-10,287.065,
2004-11,285.156,
2004-12,276.141,
2005-01,283.942,
2005-02,287.358,
2005-03,301.177,
2005-04,295.240,
2005-05,292.097,
2005-06,289.980,
2005-07,291.398,
2005-08,287.736,
2005-09,301.507,
2005-10,306.321,
2005-11,306.014,
2005-12,290.201,
2006-01,290.274,
2006-02,304.276,
2006-03,310.254,
2006-04,316.498,
2006-05,315.750,
2006-06,318.183,
2006-07,315.038,
2006-08,321.033,
2006-09,334.601,
2006-10,340.238,
2006-11,344.555,
2006-12,336.395,
2007-01,351.117,
2007-02,363.683,
2007-03,375.565,
2007-04,376.294,
2007-05,376.104,
2007-06,383.857,
2007-07,384.060,
2007-08,383.545,
2007-09,390.089,
2007-10,412.307,
2007-11,415.072,
2007-12,398.864,
2008-01,417.704,
2008-02,423.304,
2008-03,436.047,
2008-04,439.165,
2008-05,440.309,
2008-06,440.012,
2008-07,445.464,
2008-08,439.224,
2008-09,450.070,
2008-10,449.901,
2008-11,448.458,
2008-12,436.443,
2009-01,436.247,
2009-02,437.142,
2009-03,461.607,
2009-04,459.620,
2009-05,457.713,
2009-06,461.453,
2009-07,458.617,
2009-08,459.711,
2009-09,469.680,
2009-10,484.024,
2009-11,490.307,
2009-12,489.744,
2010-01,479.760,
2010-02,490.892,
2010-03,503.496,
2010-04,514.131,
2010-05,518.984,
2010-06,521.018,
2010-07,531.085,
2010-08,537.541,
2010-09,546.644,
2010-10,556.622,
2010-11,561.693,
2010-12,544.141,
2011-01,567.117,
2011-02,565.658,
2011-03,570.933,
2011-04,571.456,
2011-05,592.949,
2011-06,583.530,
2011-07,595.608,
2011-08,608.121,
2011-09,615.029,
2011-10,606.800,
2011-11,602.094,
2011-12,563.468,
2012-01,590.170,
2012-02,591.368,
2012-03,599.603,
2012-04,587.273,
2012-05,598.503,
2012-06,612.544,
2012-07,612.395,
2012-08,596.335,
2012-09,609.372,
2012-10,600.746,
2012-11,611.025,
2012-12,594.206,
2013-01,613.242,
2013-02,617.692,
2013-03,633.816,
2013-04,636.449,
2013-05,633.209,
2013-06,651.682,
2013-07,628.079,
2013-08,622.745,
2013-09,643.830,
2013-10,644.152,
2013-11,647.793,
2013-12,635.454,
2014-01,633.135,
2014-02,640.552,
2014-03,668.902,
2014-04,660.273,
2014-05,680.162,
2014-06,674.633,
2014-07,666.758,
2014-08,676.731,
2014-09,681.327,
2014-10,672.539,
2014-11,674.797,
2014-12,646.506,
"","General: From January 1999, including national currencies of the euro-area member states.",
