"",BBK01.OEXB13O,BBK01.OEXB13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:12,
2002-01,-0.497,
2002-04,-0.531,
2002-07,-0.591,
2002-10,-0.835,
2003-01,-0.827,
2003-04,-0.902,
2003-07,-0.927,
2003-10,-0.951,
2004-01,-0.969,
2004-04,-1.026,
2004-07,-1.006,
2004-10,-1.288,
2005-01,0.434,
2005-04,0.437,
2005-07,0.434,
2005-10,0.440,
2006-01,0.437,
2006-04,0.435,
2006-07,0.434,
2006-10,0.438,
2007-01,0.435,
2007-04,0.436,
2007-07,0.427,
2007-10,0.430,
2008-01,0.422,
2008-04,0.425,
2008-07,0.420,
2008-10,0.407,
2009-01,0.404,
2009-04,0.404,
2009-07,0.400,
2009-10,0.399,
2010-01,0.398,
2010-04,0.398,
2010-07,0.519,
2010-10,0.505,
2011-01,0.401,
2011-04,0.401,
2011-07,0.400,
2011-10,0.395,
2012-01,0.423,
2012-04,0.431,
2012-07,0.423,
2012-10,0.425,
2013-01,0.424,
2013-04,0.422,
2013-07,0.422,
2013-10,0.410,
2014-01,0.403,
2014-04,0.399,
2014-07,0.399,
