"",BBFN1.M.DE.N.1.L.BM.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BM.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Bermuda,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:19,
1982-09,0.108,
1982-10,0.108,
1982-11,0.108,
1982-12,0.108,
1983-01,0.108,
1983-02,0.028,
1983-03,0.028,
1983-04,0.028,
1983-05,0.029,
1983-06,0.038,
1983-07,0.038,
1983-08,0.038,
1983-09,0.038,
1983-10,0.038,
1983-11,0.038,
1983-12,0.038,
1984-01,0.038,
1984-02,0.103,
1984-03,0.103,
1984-04,0.106,
1984-05,0.106,
1984-06,0.118,
1984-07,0.112,
1984-08,0.112,
1984-09,0.112,
1984-10,0.132,
1984-11,0.148,
1984-12,0.151,
1985-01,0.148,
1985-02,0.153,
1985-03,0.147,
1985-04,0.147,
1985-05,0.147,
1985-06,0.157,
1985-07,0.145,
1985-08,0.154,
1985-09,0.145,
1985-10,0.146,
1985-11,0.148,
1985-12,0.086,
1986-01,0.085,
1986-02,0.085,
1986-03,0.083,
1986-04,0.066,
1986-05,0.066,
1986-06,0.066,
1986-07,0.066,
1986-08,0.066,
1986-09,0.060,
1986-10,0.060,
1986-11,0.060,
1986-12,0.060,
1987-01,0.046,
1987-02,0.056,
1987-03,0.056,
1987-04,0.056,
1987-05,0.056,
1987-06,0.056,
1987-07,0.056,
1987-08,0.056,
1987-09,0.051,
1987-10,0.048,
1987-11,0.048,
1987-12,0.051,
1988-01,0.052,
1988-02,0.052,
1988-03,0.052,
1988-04,0.050,
1988-05,0.045,
1988-06,0.045,
1988-07,0.045,
1988-08,0.025,
1988-09,0.025,
1988-10,0.025,
1988-11,0.025,
1988-12,0.016,
1989-01,0.011,
1989-02,0.008,
1989-03,0.008,
1989-04,0.008,
1989-05,0.008,
1989-06,0.007,
1989-07,0.007,
1989-08,0.007,
1989-09,0.007,
1989-10,0.007,
1989-11,0.007,
1989-12,0.006,
1990-01,0.006,
1990-02,0.006,
1990-03,0.005,
1990-04,0.005,
1990-05,0.040,
1990-06,0.040,
1990-07,0.053,
1990-08,0.053,
1990-09,0.053,
1990-10,0.052,
1990-11,0.052,
1990-12,0.051,
1991-01,0.051,
1991-02,0.049,
1991-03,0.049,
1991-04,0.049,
1991-05,0.048,
1991-06,0.047,
1991-07,0.054,
1991-08,0.054,
1991-09,0.054,
1991-10,0.054,
1991-11,0.054,
1991-12,0.049,
1992-01,0.054,
1992-02,0.055,
1992-03,0.058,
1992-04,0.058,
1992-05,0.060,
1992-06,0.061,
1992-07,0.065,
1992-08,0.065,
1992-09,0.065,
1992-10,0.064,
1992-11,0.059,
1992-12,0.069,
1993-01,0.066,
1993-02,0.066,
1993-03,0.066,
1993-04,0.085,
1993-05,0.085,
1993-06,0.087,
1993-07,0.114,
1993-08,0.223,
1993-09,0.223,
1993-10,0.221,
1993-11,0.238,
1993-12,0.222,
1994-01,0.221,
1994-02,0.221,
1994-03,0.217,
1994-04,0.217,
1994-05,0.185,
1994-06,0.185,
1994-07,0.186,
1994-08,0.188,
1994-09,0.188,
1994-10,0.202,
1994-11,0.202,
1994-12,0.202,
1995-01,0.549,
1995-02,0.549,
1995-03,0.551,
1995-04,0.551,
1995-05,0.539,
1995-06,0.539,
1995-07,0.536,
1995-08,0.534,
1995-09,1.063,
1995-10,1.063,
1995-11,1.261,
1995-12,1.290,
1996-01,1.261,
1996-02,1.261,
1996-03,1.267,
1996-04,1.265,
1996-05,1.265,
1996-06,1.307,
1996-07,1.354,
1996-08,1.354,
1996-09,1.347,
1996-10,1.327,
1996-11,1.331,
1996-12,1.333,
1997-01,1.343,
1997-02,1.344,
1997-03,1.347,
1997-04,1.341,
1997-05,1.340,
1997-06,1.354,
1997-07,1.452,
1997-08,1.509,
1997-09,1.506,
1997-10,1.503,
1997-11,1.504,
1997-12,1.516,
1998-01,1.517,
1998-02,1.518,
1998-03,1.523,
1998-04,1.538,
1998-05,1.271,
1998-06,1.590,
1998-07,1.593,
1998-08,1.601,
1998-09,1.592,
1998-10,1.584,
1998-11,1.574,
1998-12,1.749,
1999-01,1.749,
1999-02,1.763,
1999-03,1.961,
1999-04,1.974,
1999-05,1.976,
1999-06,1.977,
1999-07,1.951,
1999-08,1.951,
1999-09,1.951,
1999-10,2.043,
1999-11,2.040,
1999-12,2.042,
2000-01,2.055,
2000-02,2.065,
2000-03,2.085,
2000-04,2.084,
2000-05,2.585,
2000-06,2.504,
2000-07,2.572,
2000-08,2.576,
2000-09,2.583,
2000-10,2.592,
2000-11,2.827,
2000-12,2.849,
2001-01,2.742,
2001-02,2.725,
2001-03,2.740,
2001-04,2.877,
2001-05,2.858,
2001-06,2.867,
2001-07,2.868,
2001-08,2.880,
2001-09,3.003,
2001-10,3.010,
2001-11,2.780,
2001-12,2.877,
2002-01,2.896,
2002-02,2.910,
2002-03,3.015,
2002-04,3.054,
2002-05,3.125,
2002-06,3.854,
2002-07,3.854,
2002-08,3.853,
2002-09,3.853,
2002-10,4.005,
2002-11,3.706,
2002-12,3.672,
2003-01,4.383,
2003-02,4.384,
2003-03,4.521,
2003-04,4.544,
2003-05,5.202,
2003-06,5.099,
2003-07,4.989,
2003-08,4.999,
2003-09,4.995,
2003-10,5.008,
2003-11,5.098,
2003-12,4.693,
2004-01,4.741,
2004-02,4.746,
2004-03,4.760,
2004-04,4.762,
2004-05,4.462,
2004-06,4.216,
2004-07,4.230,
2004-08,4.273,
2004-09,4.251,
2004-10,3.801,
2004-11,3.835,
2004-12,2.971,
2005-01,2.608,
2005-02,2.852,
2005-03,2.850,
2005-04,2.728,
2005-05,2.748,
2005-06,2.612,
2005-07,2.612,
2005-08,2.645,
2005-09,2.221,
2005-10,2.280,
2005-11,2.303,
2005-12,2.179,
2006-01,2.176,
2006-02,2.186,
2006-03,2.207,
2006-04,2.263,
2006-05,2.270,
2006-06,4.075,
2006-07,4.075,
2006-08,4.067,
2006-09,4.660,
2006-10,4.665,
2006-11,4.513,
2006-12,6.822,
2007-01,6.863,
2007-02,7.168,
2007-03,7.852,
2007-04,7.797,
2007-05,7.821,
2007-06,7.853,
2007-07,7.887,
2007-08,7.890,
2007-09,7.832,
2007-10,7.832,
2007-11,7.835,
2007-12,7.893,
2008-01,8.753,
2008-02,9.064,
2008-03,9.069,
2008-04,9.075,
2008-05,9.079,
2008-06,9.083,
2008-07,9.084,
2008-08,9.119,
2008-09,9.052,
2008-10,9.055,
2008-11,9.065,
2008-12,7.715,
2009-01,7.718,
2009-02,7.739,
2009-03,7.505,
2009-04,7.334,
2009-05,7.379,
2009-06,7.362,
2009-07,7.358,
2009-08,7.361,
2009-09,7.670,
2009-10,7.659,
2009-11,7.614,
2009-12,7.706,
2010-01,8.686,
2010-02,8.692,
2010-03,8.897,
2010-04,8.901,
2010-05,12.774,
2010-06,13.805,
2010-07,13.741,
2010-08,13.739,
2010-09,13.699,
2010-10,13.717,
2010-11,13.749,
2010-12,13.626,
2011-01,13.648,
2011-02,13.498,
2011-03,13.479,
2011-04,13.488,
2011-05,13.528,
2011-06,13.520,
2011-07,13.492,
2011-08,13.489,
2011-09,13.530,
2011-10,13.538,
2011-11,13.591,
2011-12,13.744,
2012-01,13.771,
2012-02,13.791,
2012-03,13.270,
2012-04,13.604,
2012-05,13.540,
2012-06,12.920,
2012-07,12.922,
2012-08,12.932,
2012-09,12.958,
2012-10,12.965,
2012-11,12.982,
2012-12,12.992,
2013-01,13.890,
2013-02,13.901,
2013-03,13.910,
2013-04,13.907,
2013-05,14.232,
2013-06,14.216,
2013-07,14.320,
2013-08,14.000,
2013-09,14.327,
2013-10,14.301,
2013-11,14.287,
2013-12,13.776,
2014-01,13.798,
2014-02,13.826,
2014-03,13.833,
2014-04,13.815,
2014-05,13.541,
2014-06,13.558,
2014-07,13.619,
2014-08,13.610,
2014-09,13.905,
2014-10,13.927,
2014-11,13.932,
