"",BBK01.OEAA28N,BBK01.OEAA28N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:12,
2002-01,0.078,
2002-04,0.087,
2002-07,0.081,
2002-10,0.082,
2003-01,0.076,
2003-04,0.069,
2003-07,0.071,
2003-10,0.069,
2004-01,0.070,
2004-04,0.052,
2004-07,0.047,
2004-10,0.050,
2005-01,0.048,
2005-04,0.047,
2005-07,0.049,
2005-10,0.049,
2006-01,0.050,
2006-04,0.043,
2006-07,0.046,
2006-10,0.042,
2007-01,0.037,
2007-04,0.038,
2007-07,0.038,
2007-10,0.035,
2008-01,0.034,
2008-04,0.033,
2008-07,0.027,
2008-10,0.023,
2009-01,0.025,
2009-04,0.020,
2009-07,0.018,
2009-10,0.016,
2010-01,0.013,
2010-04,0.015,
2010-07,0.014,
2010-10,0.011,
2011-01,0.011,
2011-04,0.017,
2011-07,0.015,
2011-10,0.015,
2012-01,0.012,
2012-04,0.012,
2012-07,0.011,
2012-10,0.012,
2013-01,0.010,
2013-04,0.010,
2013-07,0.008,
2013-10,0.008,
2014-01,0.008,
2014-04,0.006,
2014-07,0.006,
