"",BBK01.OEHI01O,BBK01.OEHI01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:28,
2002-01,32.706,
2002-04,32.810,
2002-07,32.794,
2002-10,33.953,
2003-01,33.475,
2003-04,33.469,
2003-07,33.446,
2003-10,34.497,
2004-01,34.061,
2004-04,33.931,
2004-07,34.105,
2004-10,34.879,
2005-01,34.429,
2005-04,34.500,
2005-07,34.779,
2005-10,35.445,
2006-01,35.127,
2006-04,35.874,
2006-07,35.448,
2006-10,36.334,
2007-01,35.786,
2007-04,36.719,
2007-07,36.855,
2007-10,37.254,
2008-01,37.076,
2008-04,37.343,
2008-07,37.487,
2008-10,38.289,
2009-01,38.344,
2009-04,38.438,
2009-07,38.768,
2009-10,39.274,
2010-01,39.573,
2010-04,39.931,
2010-07,40.237,
2010-10,40.447,
2011-01,40.566,
2011-04,41.031,
2011-07,41.439,
2011-10,41.442,
2012-01,41.593,
2012-04,41.914,
2012-07,42.262,
2012-10,42.360,
2013-01,41.381,
2013-04,41.877,
2013-07,41.717,
2013-10,43.080,
2014-01,42.013,
2014-04,42.238,
2014-07,42.605,
