"",BBK01.CEFE02,BBK01.CEFE02_FLAGS
"",short-term loans                                              debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:00,
1999-01,530.3,
1999-04,544.2,
1999-07,539.1,
1999-10,564.1,
2000-01,589.6,
2000-04,619.1,
2000-07,592.2,
2000-10,581.9,
2001-01,687.2,
2001-04,658.2,
2001-07,645.1,
2001-10,614.2,
2002-01,637.5,
2002-04,606.3,
2002-07,637.6,
2002-10,616.5,
2003-01,650.8,
2003-04,626.5,
2003-07,636.0,
2003-10,640.1,
2004-01,679.0,
2004-04,618.2,
2004-07,657.2,
2004-10,637.4,
2005-01,658.8,
2005-04,644.9,
2005-07,674.2,
2005-10,667.4,
2006-01,679.6,
2006-04,672.8,
2006-07,713.8,
2006-10,655.4,
2007-01,713.3,
2007-04,728.7,
2007-07,764.3,
2007-10,780.1,
2008-01,858.8,
2008-04,849.0,
2008-07,867.0,
2008-10,831.3,
2009-01,876.1,
2009-04,897.8,
2009-07,858.3,
2009-10,822.6,
2010-01,859.0,
2010-04,944.7,
2010-07,962.8,
2010-10,1032.0,
2011-01,1026.5,
2011-04,1043.8,
2011-07,1188.9,
2011-10,1147.3,
2012-01,1344.4,
2012-04,1454.4,
2012-07,1436.8,
2012-10,1364.3,
2013-01,1318.1,
2013-04,1319.8,
2013-07,1173.2,
2013-10,1095.1,
2014-01,1074.5,
2014-04,1084.1,
2014-07,1091.4,
