"",BBFN1.M.DE.N.1.L.HU.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HU.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Hungary,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:55,
1994-07,0.104,
1994-08,0.102,
1994-09,0.108,
1994-10,0.121,
1994-11,0.140,
1994-12,0.129,
1995-01,0.143,
1995-02,0.157,
1995-03,0.142,
1995-04,0.130,
1995-05,0.143,
1995-06,0.147,
1995-07,0.134,
1995-08,0.132,
1995-09,0.149,
1995-10,0.154,
1995-11,0.165,
1995-12,0.148,
1996-01,0.138,
1996-02,0.157,
1996-03,0.145,
1996-04,0.152,
1996-05,0.135,
1996-06,0.151,
1996-07,0.132,
1996-08,0.113,
1996-09,0.155,
1996-10,0.153,
1996-11,0.176,
1996-12,0.176,
1997-01,0.179,
1997-02,0.186,
1997-03,0.210,
1997-04,0.226,
1997-05,0.210,
1997-06,0.229,
1997-07,0.232,
1997-08,0.201,
1997-09,0.258,
1997-10,0.284,
1997-11,0.290,
1997-12,0.251,
1998-01,0.282,
1998-02,0.306,
1998-03,0.379,
1998-04,0.355,
1998-05,0.419,
1998-06,0.374,
1998-07,0.462,
1998-08,0.367,
1998-09,0.473,
1998-10,0.474,
1998-11,0.450,
1998-12,0.478,
1999-01,0.394,
1999-02,0.419,
1999-03,0.519,
1999-04,0.485,
1999-05,0.487,
1999-06,0.618,
1999-07,0.602,
1999-08,0.604,
1999-09,0.638,
1999-10,0.664,
1999-11,0.683,
1999-12,0.647,
2000-01,0.577,
2000-02,0.816,
2000-03,0.847,
2000-04,0.716,
2000-05,0.780,
2000-06,0.750,
2000-07,0.725,
2000-08,0.628,
2000-09,0.733,
2000-10,0.738,
2000-11,0.829,
2000-12,0.790,
2001-01,0.760,
2001-02,0.782,
2001-03,0.811,
2001-04,0.743,
2001-05,0.815,
2001-06,0.848,
2001-07,0.806,
2001-08,0.816,
2001-09,0.893,
2001-10,0.902,
2001-11,0.888,
2001-12,0.746,
2002-01,0.790,
2002-02,0.802,
2002-03,0.786,
2002-04,0.914,
2002-05,0.835,
2002-06,0.822,
2002-07,0.905,
2002-08,0.761,
2002-09,0.909,
2002-10,0.879,
2002-11,0.903,
2002-12,0.805,
2003-01,0.876,
2003-02,0.891,
2003-03,0.995,
2003-04,0.986,
2003-05,0.907,
2003-06,1.243,
2003-07,1.050,
2003-08,0.796,
2003-09,0.949,
2003-10,0.948,
2003-11,1.012,
2003-12,0.869,
2004-01,0.893,
2004-02,1.025,
2004-03,1.113,
2004-04,0.981,
2004-05,1.014,
2004-06,1.079,
2004-07,1.071,
2004-08,0.961,
2004-09,1.083,
2004-10,1.110,
2004-11,1.183,
2004-12,1.099,
2005-01,0.999,
2005-02,0.996,
2005-03,1.033,
2005-04,1.051,
2005-05,0.964,
2005-06,1.137,
2005-07,1.094,
2005-08,0.923,
2005-09,1.151,
2005-10,1.155,
2005-11,1.208,
2005-12,1.131,
2006-01,1.067,
2006-02,1.132,
2006-03,1.243,
2006-04,1.231,
2006-05,1.153,
2006-06,1.118,
2006-07,1.139,
2006-08,1.127,
2006-09,1.316,
2006-10,1.087,
2006-11,1.285,
2006-12,1.150,
2007-01,1.167,
2007-02,1.234,
2007-03,1.320,
2007-04,1.207,
2007-05,1.282,
2007-06,1.316,
2007-07,1.259,
2007-08,1.063,
2007-09,1.236,
2007-10,1.175,
2007-11,1.211,
2007-12,1.229,
2008-01,1.357,
2008-02,1.321,
2008-03,1.486,
2008-04,1.427,
2008-05,1.257,
2008-06,1.346,
2008-07,1.278,
2008-08,1.152,
2008-09,1.336,
2008-10,1.185,
2008-11,1.307,
2008-12,1.024,
2009-01,0.983,
2009-02,0.770,
2009-03,1.023,
2009-04,0.840,
2009-05,0.967,
2009-06,0.986,
2009-07,1.006,
2009-08,0.730,
2009-09,0.991,
2009-10,1.057,
2009-11,1.089,
2009-12,0.936,
2010-01,0.957,
2010-02,1.154,
2010-03,1.133,
2010-04,1.012,
2010-05,0.999,
2010-06,1.088,
2010-07,1.011,
2010-08,0.886,
2010-09,1.122,
2010-10,1.110,
2010-11,1.151,
2010-12,1.048,
2011-01,1.031,
2011-02,1.190,
2011-03,1.280,
2011-04,1.165,
2011-05,1.232,
2011-06,1.233,
2011-07,1.200,
2011-08,1.140,
2011-09,1.453,
2011-10,1.306,
2011-11,1.585,
2011-12,1.189,
2012-01,1.433,
2012-02,1.525,
2012-03,1.356,
2012-04,1.298,
2012-05,1.355,
2012-06,1.342,
2012-07,1.556,
2012-08,1.349,
2012-09,1.553,
2012-10,1.544,
2012-11,1.711,
2012-12,1.444,
2013-01,1.471,
2013-02,1.370,
2013-03,1.498,
2013-04,1.405,
2013-05,1.345,
2013-06,1.441,
2013-07,1.373,
2013-08,1.178,
2013-09,1.474,
2013-10,1.512,
2013-11,1.544,
2013-12,1.236,
2014-01,1.582,
2014-02,1.678,
2014-03,1.813,
2014-04,1.587,
2014-05,1.738,
2014-06,1.780,
2014-07,1.645,
2014-08,1.385,
2014-09,1.944,
2014-10,1.585,
2014-11,1.767,
2014-12,1.413,
