"",BBK01.OEAD07I,BBK01.OEAD07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:01,
2002-01,0.450,
2002-04,0.438,
2002-07,0.422,
2002-10,0.441,
2003-01,0.446,
2003-04,0.469,
2003-07,0.435,
2003-10,0.432,
2004-01,0.451,
2004-04,0.419,
2004-07,0.419,
2004-10,0.386,
2005-01,0.396,
2005-04,0.385,
2005-07,0.392,
2005-10,0.360,
2006-01,0.365,
2006-04,0.369,
2006-07,0.399,
2006-10,0.362,
2007-01,0.369,
2007-04,0.437,
2007-07,0.419,
2007-10,0.470,
2008-01,0.430,
2008-04,0.469,
2008-07,0.460,
2008-10,0.389,
2009-01,0.406,
2009-04,0.408,
2009-07,0.370,
2009-10,0.336,
2010-01,0.292,
2010-04,0.278,
2010-07,0.290,
2010-10,0.265,
2011-01,0.392,
2011-04,0.351,
2011-07,0.325,
2011-10,0.329,
2012-01,0.332,
2012-04,0.364,
2012-07,0.380,
2012-10,0.405,
2013-01,0.419,
2013-04,0.421,
2013-07,0.415,
2013-10,0.413,
2014-01,0.413,
2014-04,0.427,
2014-07,0.397,
