"",BBDE1.M.DE.Y.AEP1.A2P350000.F.V.I10.A,BBDE1.M.DE.Y.AEP1.A2P350000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, euro-area countries / At current prices, flows / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:08,
2010-01,98.2,
2010-02,93.7,
2010-03,96.3,
2010-04,99.4,
2010-05,99.5,
2010-06,104.5,
2010-07,103.2,
2010-08,101.5,
2010-09,97.6,
2010-10,101.7,
2010-11,97.7,
2010-12,101.8,
2011-01,106.8,
2011-02,105.9,
2011-03,102.5,
2011-04,104.3,
2011-05,102.2,
2011-06,100.2,
2011-07,105.8,
2011-08,100.4,
2011-09,99.7,
2011-10,102.6,
2011-11,101.6,
2011-12,100.6,
2012-01,99.6,
2012-02,95.2,
2012-03,102.4,
2012-04,98.2,
2012-05,107.2,
2012-06,105.7,
2012-07,100.7,
2012-08,107.0,
2012-09,104.0,
2012-10,100.7,
2012-11,101.6,
2012-12,105.1,
2013-01,100.2,
2013-02,97.2,
2013-03,96.5,
2013-04,107.4,
2013-05,101.9,
2013-06,102.5,
2013-07,101.0,
2013-08,99.5,
2013-09,103.9,
2013-10,108.3,
2013-11,116.3,
2013-12,110.7,
2014-01,111.0,
2014-02,112.0,
2014-03,98.1,
2014-04,110.7,
2014-05,111.2,
2014-06,107.9,
2014-07,102.6,
2014-08,111.4,
2014-09,113.8,
2014-10,101.7,
2014-11,121.1,
2014-12,102.0,Provisional value
