"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D.FL._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D.FL._Z._T._X.N_FLAGS
"",IIP - Direct investment - Debt instruments (FDI) - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:18,
1999-10,98492,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,120494,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,137133,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,138167,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,124733,
2004-01,126354,
2004-04,129244,
2004-07,131270,
2004-10,126824,
2005-01,135864,
2005-04,139565,
2005-07,144836,
2005-10,145723,
2006-01,157327,
2006-04,160340,
2006-07,157768,
2006-10,151131,
2007-01,155070,
2007-04,161194,
2007-07,168520,
2007-10,159948,
2008-01,171589,
2008-04,182133,
2008-07,187925,
2008-10,200993,
2009-01,201611,
2009-04,200531,
2009-07,197463,
2009-10,217605,
2010-01,230591,
2010-04,248594,
2010-07,241163,
2010-10,235292,
2011-01,248111,
2011-04,246931,
2011-07,254296,
2011-10,260789,
2012-01,268912,
2012-04,275916,
2012-07,276831,
2012-10,339649,
2013-01,352066,
2013-04,371525,
2013-07,367262,
2013-10,361777,
2014-01,368342,
2014-04,371640,
2014-07,386007,
