"",BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F._Z.XDO._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F._Z.XDO._X.N_FLAGS
"",Reserve Assets (mthly.) - Currencies not in SDR basket,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:23,
1999-12,7,
2000-01,6,
2000-02,6,
2000-03,7,
2000-04,3,
2000-05,1,
2000-06,6,
2000-07,7,
2000-08,7,
2000-09,28,
2000-10,7,
2000-11,7,
2000-12,8,
2001-01,6,
2001-02,7,
2001-03,7,
2001-04,6,
2001-05,7,
2001-06,6,
2001-07,7,
2001-08,7,
2001-09,-,Nothing exists
2001-10,6,
2001-11,7,
2001-12,3,
2002-01,5,
2002-02,5,
2002-03,4,
2002-04,4,
2002-05,4,
2002-06,4,
2002-07,4,
2002-08,4,
2002-09,4,
2002-10,4,
2002-11,4,
2002-12,1,
2003-01,4,
2003-02,4,
2003-03,4,
2003-04,2,
2003-05,4,
2003-06,4,
2003-07,5,
2003-08,4,
2003-09,6,
2003-10,4,
2003-11,4,
2003-12,2,
2004-01,4,
2004-02,4,
2004-03,4,
2004-04,4,
2004-05,4,
2004-06,4,
2004-07,4,
2004-08,5,
2004-09,24,
2004-10,5,
2004-11,4,
2004-12,4,
2005-01,-6,
2005-02,8,
2005-03,2,
2005-04,4,
2005-05,4,
2005-06,4,
2005-07,4,
2005-08,5,
2005-09,4,
2005-10,-25,
2005-11,4,
2005-12,5,
2006-01,5,
2006-02,5,
2006-03,4,
2006-04,4,
2006-05,4,
2006-06,4,
2006-07,5,
2006-08,12,
2006-09,4,
2006-10,5,
2006-11,5,
2006-12,5,
2007-01,5,
2007-02,5,
2007-03,5,
2007-04,4,
2007-05,5,
2007-06,12,
2007-07,4,
2007-08,5,
2007-09,4,
2007-10,4,
2007-11,5,
2007-12,7,
2008-01,4,
2008-02,6,
2008-03,5,
2008-04,4,
2008-05,4,
2008-06,4,
2008-07,5,
2008-08,4,
2008-09,4,
2008-10,5,
2008-11,4,
2008-12,6,
2009-01,4,
2009-02,4,
2009-03,4,
2009-04,5,
2009-05,18,
2009-06,5,
2009-07,6,
2009-08,6,
2009-09,5,
2009-10,49,
2009-11,5,
2009-12,13,
2010-01,12,
2010-02,6,
2010-03,8,
2010-04,7,
2010-05,7,
2010-06,94,
2010-07,6,
2010-08,7,
2010-09,6,
2010-10,5,
2010-11,7,
2010-12,11,
2011-01,7,
2011-02,7,
2011-03,6,
2011-04,8,
2011-05,6,
2011-06,96,
2011-07,18,
2011-08,10,
2011-09,6,
2011-10,7,
2011-11,13,
2011-12,10,
2012-01,8,
2012-02,6,
2012-03,6,
2012-04,11,
2012-05,11,
2012-06,110,
2012-07,98,
2012-08,446,
2012-09,750,
2012-10,1093,
2012-11,1167,
2012-12,1150,
2013-01,1114,
2013-02,1134,
2013-03,1179,
2013-04,1155,
2013-05,1081,
2013-06,1031,
2013-07,997,
2013-08,987,
2013-09,1010,
2013-10,1019,
2013-11,977,
2013-12,956,
2014-01,956,
2014-02,963,
2014-03,989,
2014-04,1000,
2014-05,1025,
2014-06,1039,
2014-07,1051,
2014-08,1074,
2014-09,1049,
2014-10,1080,
2014-11,1055,
2014-12,1048,
2015-01,1081,
