"",BBK01.OEXM01K,BBK01.OEXM01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:30,
2002-01,0.516,
2002-04,0.512,
2002-07,0.526,
2002-10,0.579,
2003-01,0.611,
2003-04,0.579,
2003-07,0.512,
2003-10,0.525,
2004-01,0.739,
2004-04,0.767,
2004-07,0.878,
2004-10,0.395,
2005-01,0.449,
2005-04,0.430,
2005-07,0.434,
2005-10,0.392,
2006-01,0.460,
2006-04,0.487,
2006-07,0.545,
2006-10,0.574,
2007-01,0.586,
2007-04,0.677,
2007-07,0.411,
2007-10,0.503,
2008-01,0.445,
2008-04,0.505,
2008-07,0.510,
2008-10,0.467,
2009-01,0.399,
2009-04,0.426,
2009-07,0.364,
2009-10,0.427,
2010-01,0.413,
2010-04,0.383,
2010-07,0.353,
2010-10,0.358,
2011-01,0.343,
2011-04,0.378,
2011-07,0.407,
2011-10,0.460,
2012-01,0.758,
2012-04,0.968,
2012-07,0.945,
2012-10,0.612,
2013-01,1.223,
2013-04,1.584,
2013-07,1.448,
2013-10,1.036,
2014-01,1.285,
2014-04,1.352,
2014-07,1.184,
