"",BBSF2.M.1.T.00000.AKT01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Equity funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:21,
2009-09,29749,
2009-10,28808,
2009-11,28727,
2009-12,31242,
2010-01,29402,
2010-02,28621,
2010-03,30837,
2010-04,29653,
2010-05,27557,
2010-06,26840,
2010-07,28250,
2010-08,26904,
2010-09,28202,
2010-10,29518,
2010-11,27768,
2010-12,29275,
2011-01,30898,
2011-02,31346,
2011-03,30210,
2011-04,30214,
2011-05,29136,
2011-06,28911,
2011-07,27364,
2011-08,23951,
2011-09,22274,
2011-10,23777,
2011-11,22669,
2011-12,22834,
2012-01,23622,
2012-02,23765,
2012-03,23025,
2012-04,21200,
2012-05,19623,
2012-06,20716,
2012-07,21593,
2012-08,21995,
2012-09,22378,
2012-10,22802,
2012-11,23320,
2012-12,24493,
2013-01,25469,
2013-02,24951,
2013-03,25341,
2013-04,26264,
2013-05,26758,
2013-06,25270,
2013-07,27279,
2013-08,27307,
2013-09,28818,
2013-10,30642,
2013-11,31302,
2013-12,31167,
2014-01,30345,
2014-02,31968,
2014-03,32170,
2014-04,32611,
2014-05,33064,
2014-06,33780,
2014-07,32949,
2014-08,33521,
2014-09,33437,
2014-10,32129,
2014-11,34059,
