"",BBFB1.Q.N.DE.ES.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:49,
1991-01,634.264,
1991-04,1533.483,
1991-07,469.870,
1991-10,654.564,
1992-01,1052.749,
1992-04,473.323,
1992-07,-683.931,
1992-10,83.313,
1993-01,1001.393,
1993-04,1725.477,
1993-07,-224.069,
1993-10,352.149,
1994-01,264.100,
1994-04,1576.557,
1994-07,-12.059,
1994-10,1214.080,
1995-01,793.674,
1995-04,1284.453,
1995-07,-504.969,
1995-10,813.696,
1996-01,708.958,
1996-04,169.761,
1996-07,-288.516,
1996-10,1288.831,
1997-01,661.445,
1997-04,2086.279,
1997-07,1943.777,
1997-10,-659.737,
1998-01,2790.138,
1998-04,3379.754,
1998-07,1903.762,
1998-10,9522.613,
1999-01,-9313.758,
1999-04,-10778.377,
1999-07,31528.832,
1999-10,5999.144,
2000-01,-11746.244,
2000-04,10906.943,
2000-07,-11499.829,
2000-10,32757.898,
2001-01,2964.493,
2001-04,2169.866,
2001-07,1275.712,
2001-10,2707.694,
2002-01,5088.437,
2002-04,5665.702,
2002-07,2987.842,
2002-10,4757.504,
2003-01,5628.420,
2003-04,8093.354,
2003-07,-1961.109,
2003-10,5291.286,
2004-01,10180.261,
2004-04,7907.096,
2004-07,487.301,
2004-10,10661.411,
2005-01,7268.556,
2005-04,15463.399,
2005-07,3233.098,
2005-10,10017.454,
2006-01,25956.920,
2006-04,8107.561,
2006-07,8093.121,
2006-10,14118.546,
2007-01,12597.437,
2007-04,7433.454,
2007-07,-4849.203,
2007-10,-593.043,
2008-01,2244.144,
2008-04,10899.058,
2008-07,3581.055,
2008-10,-15529.656,
2009-01,-5558.823,
2009-04,1965.616,
2009-07,809.553,
2009-10,6975.875,
2010-01,-7753.097,
2010-04,-10593.681,
2010-07,15735.855,
2010-10,5700.961,
2011-01,5101.174,
2011-04,-10522.778,
2011-07,-2168.107,
2011-10,-1598.390,
2012-01,-11189.413,
2012-04,-24808.838,
2012-07,-12226.146,
2012-10,-4400.905,
2013-01,18246.215,
2013-04,2849.924,
2013-07,-5718.474,
2013-10,-4799.771,
2014-01,-613.235,Provisional value
2014-04,-2932.874,Provisional value
2014-07,-3184.466,Provisional value
2014-10,2533.243,Provisional value
