"",BBK01.OEAF06R,BBK01.OEAF06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:37,
2002-01,0.812,
2002-04,0.830,
2002-07,0.838,
2002-10,0.896,
2003-01,0.873,
2003-04,0.889,
2003-07,0.815,
2003-10,0.813,
2004-01,0.779,
2004-04,0.790,
2004-07,0.795,
2004-10,0.804,
2005-01,0.778,
2005-04,0.791,
2005-07,0.801,
2005-10,0.811,
2006-01,0.771,
2006-04,0.791,
2006-07,0.795,
2006-10,0.793,
2007-01,0.795,
2007-04,0.800,
2007-07,0.808,
2007-10,0.813,
2008-01,0.812,
2008-04,0.830,
2008-07,0.850,
2008-10,0.855,
2009-01,0.850,
2009-04,0.859,
2009-07,0.861,
2009-10,0.861,
2010-01,0.867,
2010-04,0.888,
2010-07,0.882,
2010-10,0.918,
2011-01,0.918,
2011-04,0.930,
2011-07,0.949,
2011-10,0.978,
2012-01,0.977,
2012-04,1.000,
2012-07,1.016,
2012-10,0.980,
2013-01,0.987,
2013-04,1.014,
2013-07,1.031,
2013-10,1.012,
2014-01,1.027,
2014-04,1.033,
2014-07,1.047,
