"",BBK01.OEXJ01J,BBK01.OEXJ01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:23,
2002-01,0.476,
2002-04,0.457,
2002-07,0.469,
2002-10,0.480,
2003-01,0.488,
2003-04,0.489,
2003-07,0.479,
2003-10,0.476,
2004-01,0.520,
2004-04,0.549,
2004-07,0.495,
2004-10,0.482,
2005-01,0.528,
2005-04,0.555,
2005-07,0.548,
2005-10,0.580,
2006-01,0.651,
2006-04,0.636,
2006-07,0.620,
2006-10,0.585,
2007-01,0.653,
2007-04,0.639,
2007-07,0.628,
2007-10,0.695,
2008-01,0.722,
2008-04,0.751,
2008-07,0.770,
2008-10,0.758,
2009-01,0.761,
2009-04,0.700,
2009-07,0.699,
2009-10,0.794,
2010-01,0.701,
2010-04,0.687,
2010-07,0.745,
2010-10,0.761,
2011-01,0.719,
2011-04,0.707,
2011-07,0.810,
2011-10,0.846,
2012-01,0.790,
2012-04,0.757,
2012-07,0.890,
2012-10,0.905,
2013-01,0.844,
2013-04,0.801,
2013-07,0.865,
2013-10,1.008,
2014-01,1.063,
2014-04,1.158,
2014-07,1.164,
