"",BBSF2.M.1.T.00000.HED01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.HED01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Hedgefunds / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:11,
2009-09,167,
2009-10,148,
2009-11,134,
2009-12,19,
2010-01,18,
2010-02,18,
2010-03,15,
2010-04,134,
2010-05,175,
2010-06,16,
2010-07,18,
2010-08,16,
2010-09,13,
2010-10,13,
2010-11,14,
2010-12,14,
2011-01,15,
2011-02,15,
2011-03,15,
2011-04,13,
2011-05,13,
2011-06,12,
2011-07,25,
2011-08,57,
2011-09,56,
2011-10,55,
2011-11,55,
2011-12,55,
2012-01,54,
2012-02,53,
2012-03,86,
2012-04,138,
2012-05,133,
2012-06,118,
2012-07,109,
2012-08,107,
2012-09,99,
2012-10,99,
2012-11,98,
2012-12,94,
2013-01,91,
2013-02,92,
2013-03,93,
2013-04,93,
2013-05,92,
2013-06,90,
2013-07,89,
2013-08,77,
2013-09,76,
2013-10,74,
2013-11,73,
2013-12,66,
2014-01,62,
2014-02,62,
2014-03,56,
2014-04,64,
2014-05,60,
2014-06,56,
2014-07,55,
2014-08,56,
2014-09,65,
2014-10,67,
2014-11,65,
