"",BBFN1.M.DE.N.1.A.G9.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.G9.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:22,
1995-01,9.565,
1995-02,9.594,
1995-03,10.036,
1995-04,10.132,
1995-05,10.170,
1995-06,10.704,
1995-07,10.576,
1995-08,10.638,
1995-09,11.108,
1995-10,10.788,
1995-11,11.188,
1995-12,10.486,
1996-01,10.468,
1996-02,10.669,
1996-03,10.748,
1996-04,10.862,
1996-05,11.174,
1996-06,11.520,
1996-07,11.392,
1996-08,11.153,
1996-09,11.747,
1996-10,11.726,
1996-11,12.121,
1996-12,11.711,
1997-01,11.660,
1997-02,12.129,
1997-03,12.384,
1997-04,12.579,
1997-05,12.685,
1997-06,13.003,
1997-07,12.921,
1997-08,12.967,
1997-09,13.327,
1997-10,13.897,
1997-11,14.049,
1997-12,13.794,
1998-01,13.572,
1998-02,14.284,
1998-03,14.600,
1998-04,14.746,
1998-05,14.781,
1998-06,14.903,
1998-07,14.980,
1998-08,14.620,
1998-09,14.990,
1998-10,14.855,
1998-11,15.075,
1998-12,14.275,
1999-01,13.953,
1999-02,14.016,
1999-03,14.756,
1999-04,14.338,
1999-05,14.604,
1999-06,14.925,
1999-07,14.750,
1999-08,14.547,
1999-09,14.794,
1999-10,15.308,
1999-11,15.640,
1999-12,15.020,
2000-01,15.042,
2000-02,15.638,
2000-03,16.172,
2000-04,16.236,
2000-05,16.011,
2000-06,16.362,
2000-07,16.550,
2000-08,16.841,
2000-09,17.239,
2000-10,17.706,
2000-11,17.913,
2000-12,17.870,
2001-01,17.453,
2001-02,17.654,
2001-03,17.900,
2001-04,18.167,
2001-05,18.022,
2001-06,18.688,
2001-07,18.149,
2001-08,17.991,
2001-09,18.532,
2001-10,19.015,
2001-11,18.776,
2001-12,17.790,
2002-01,16.964,
2002-02,17.258,
2002-03,16.729,
2002-04,17.163,
2002-05,17.122,
2002-06,17.522,
2002-07,17.089,
2002-08,17.252,
2002-09,17.667,
2002-10,17.956,
2002-11,18.189,
2002-12,17.355,
2003-01,17.180,
2003-02,17.471,
2003-03,17.873,
2003-04,18.174,
2003-05,17.824,
2003-06,18.346,
2003-07,18.184,
2003-08,17.924,
2003-09,18.474,
2003-10,18.927,
2003-11,19.469,
2003-12,18.163,
2004-01,17.621,
2004-02,17.901,
2004-03,19.164,
2004-04,19.102,
2004-05,12.284,
2004-06,12.626,
2004-07,12.686,
2004-08,12.199,
2004-09,12.540,
2004-10,12.632,
2004-11,12.820,
2004-12,11.741,
2005-01,11.642,
2005-02,11.974,
2005-03,12.564,
2005-04,12.608,
2005-05,12.707,
2005-06,13.594,
2005-07,13.428,
2005-08,13.046,
2005-09,13.695,
2005-10,13.997,
2005-11,14.313,
2005-12,14.310,
2006-01,14.699,
2006-02,14.755,
2006-03,15.239,
2006-04,15.125,
2006-05,15.308,
2006-06,14.910,
2006-07,14.779,
2006-08,14.492,
2006-09,15.131,
2006-10,15.325,
2006-11,15.990,
2006-12,15.180,
2007-01,14.362,
2007-02,14.747,
2007-03,14.974,
2007-04,15.187,
2007-05,15.425,
2007-06,16.083,
2007-07,15.886,
2007-08,15.669,
2007-09,16.385,
2007-10,16.773,
2007-11,16.589,
2007-12,15.532,
2008-01,15.275,
2008-02,16.109,
2008-03,16.486,
2008-04,17.247,
2008-05,17.250,
2008-06,17.777,
2008-07,17.416,
2008-08,17.407,
2008-09,17.533,
2008-10,17.894,
2008-11,18.255,
2008-12,16.336,
2009-01,15.607,
2009-02,15.517,
2009-03,15.288,
2009-04,14.991,
2009-05,15.185,
2009-06,15.234,
2009-07,15.305,
2009-08,14.548,
2009-09,14.816,
2009-10,14.607,
2009-11,15.144,
2009-12,14.028,
2010-01,13.835,
2010-02,14.371,
2010-03,15.256,
2010-04,15.319,
2010-05,15.248,
2010-06,16.191,
2010-07,16.229,
2010-08,16.376,
2010-09,16.359,
2010-10,16.617,
2010-11,16.357,
2010-12,15.076,
2011-01,15.293,
2011-02,15.605,
2011-03,16.503,
2011-04,16.199,
2011-05,16.958,
2011-06,17.225,
2011-07,17.003,
2011-08,16.685,
2011-09,17.592,
2011-10,18.278,
2011-11,18.133,
2011-12,17.131,
2012-01,16.900,
2012-02,17.115,
2012-03,18.485,
2012-04,17.445,
2012-05,17.392,
2012-06,19.791,
2012-07,19.321,
2012-08,17.743,
2012-09,18.066,
2012-10,18.276,
2012-11,18.591,
2012-12,8.009,
2013-01,8.527,
2013-02,8.586,
2013-03,8.751,
2013-04,9.018,
2013-05,8.903,
2013-06,9.319,
2013-07,8.405,
2013-08,8.713,
2013-09,8.862,
2013-10,9.019,
2013-11,9.449,
2013-12,8.105,
2014-01,8.331,
2014-02,8.533,
2014-03,8.746,
2014-04,8.705,
2014-05,8.778,
2014-06,8.872,
2014-07,8.728,
2014-08,8.649,
2014-09,8.720,
2014-10,8.464,
2014-11,8.385,
2014-12,7.364,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
