"",BBK01.OEAH25L,BBK01.OEAH25L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:12,
2002-01,43.168,
2002-04,42.033,
2002-07,42.525,
2002-10,44.139,
2003-01,44.290,
2003-04,44.057,
2003-07,44.004,
2003-10,44.890,
2004-01,44.879,
2004-04,44.703,
2004-07,44.816,
2004-10,45.855,
2005-01,49.187,
2005-04,48.872,
2005-07,48.379,
2005-10,48.823,
2006-01,48.581,
2006-04,48.555,
2006-07,48.259,
2006-10,48.338,
2007-01,47.370,
2007-04,45.966,
2007-07,44.065,
2007-10,42.753,
2008-01,40.710,
2008-04,39.396,
2008-07,38.112,
2008-10,38.911,
2009-01,40.165,
2009-04,41.962,
2009-07,44.450,
2009-10,46.860,
2010-01,48.374,
2010-04,45.816,
2010-07,45.752,
2010-10,46.658,
2011-01,47.117,
2011-04,45.141,
2011-07,44.696,
2011-10,44.529,
2012-01,44.526,
2012-04,44.054,
2012-07,43.424,
2012-10,43.251,
2013-01,42.778,
2013-04,42.441,
2013-07,42.270,
2013-10,42.645,
2014-01,42.123,
2014-04,41.525,
2014-07,41.399,
