"",BBK01.OEAH76I,BBK01.OEAH76I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:47,
2002-01,0.003,
2002-04,0.051,
2002-07,0.057,
2002-10,0.055,
2003-01,0.056,
2003-04,0.051,
2003-07,0.046,
2003-10,0.015,
2004-01,0.014,
2004-04,0.011,
2004-07,0.007,
2004-10,0.002,
2005-01,0.008,
2005-04,0.008,
2005-07,0.006,
2005-10,0.011,
2006-01,0.011,
2006-04,0.011,
2006-07,0.016,
2006-10,0.011,
2007-01,0.044,
2007-04,0.044,
2007-07,0.044,
2007-10,0.045,
2008-01,0.009,
2008-04,0.021,
2008-07,0.031,
2008-10,0.032,
2009-01,0.133,
2009-04,0.144,
2009-07,0.234,
2009-10,0.243,
2010-01,0.146,
2010-04,0.180,
2010-07,0.085,
2010-10,0.071,
2011-01,0.007,
2011-04,0.024,
2011-07,0.081,
2011-10,0.098,
2012-01,0.061,
2012-04,0.121,
2012-07,0.179,
2012-10,0.335,
2013-01,0.412,
2013-04,0.531,
2013-07,0.550,
2013-10,0.494,
2014-01,0.736,
2014-04,0.792,
2014-07,0.819,
