"",BBK01.CEFB20,BBK01.CEFB20_FLAGS
"",long-term debt securities                         debtor: Domestic financial corporations    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:12,
1999-01,1244.7,
1999-04,1259.4,
1999-07,1239.5,
1999-10,1229.5,
2000-01,1233.0,
2000-04,1277.6,
2000-07,1313.9,
2000-10,1336.0,
2001-01,1405.6,
2001-04,1417.0,
2001-07,1449.2,
2001-10,1468.2,
2002-01,1462.3,
2002-04,1468.8,
2002-07,1533.7,
2002-10,1521.4,
2003-01,1545.4,
2003-04,1579.7,
2003-07,1549.6,
2003-10,1535.6,
2004-01,1623.1,
2004-04,1600.1,
2004-07,1639.1,
2004-10,1646.1,
2005-01,1661.7,
2005-04,1754.6,
2005-07,1743.4,
2005-10,1681.6,
2006-01,1679.4,
2006-04,1653.1,
2006-07,1655.3,
2006-10,1650.2,
2007-01,1655.3,
2007-04,1623.6,
2007-07,1619.1,
2007-10,1597.9,
2008-01,1610.2,
2008-04,1563.8,
2008-07,1608.4,
2008-10,1653.9,
2009-01,1689.1,
2009-04,1687.0,
2009-07,1706.7,
2009-10,1660.8,
2010-01,1681.5,
2010-04,1694.0,
2010-07,1656.8,
2010-10,1591.8,
2011-01,1552.6,
2011-04,1564.0,
2011-07,1603.0,
2011-10,1575.5,
2012-01,1554.6,
2012-04,1545.6,
2012-07,1532.2,
2012-10,1493.2,
2013-01,1442.3,
2013-04,1374.2,
2013-07,1317.1,
2013-10,1294.5,
2014-01,1275.3,
2014-04,1279.5,
2014-07,1291.7,
