"",BBK01.OEXB05M,BBK01.OEXB05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:46,
2002-01,28.468,
2002-04,28.801,
2002-07,28.837,
2002-10,29.247,
2003-01,29.586,
2003-04,30.119,
2003-07,30.146,
2003-10,30.175,
2004-01,30.106,
2004-04,30.737,
2004-07,30.953,
2004-10,28.999,
2005-01,29.166,
2005-04,29.407,
2005-07,28.830,
2005-10,29.192,
2006-01,29.661,
2006-04,29.997,
2006-07,30.591,
2006-10,29.501,
2007-01,30.065,
2007-04,30.001,
2007-07,30.254,
2007-10,30.975,
2008-01,30.457,
2008-04,30.792,
2008-07,29.269,
2008-10,31.152,
2009-01,32.055,
2009-04,33.257,
2009-07,32.426,
2009-10,32.891,
2010-01,33.076,
2010-04,32.699,
2010-07,33.511,
2010-10,34.570,
2011-01,34.888,
2011-04,34.981,
2011-07,34.871,
2011-10,35.353,
2012-01,35.841,
2012-04,37.002,
2012-07,37.697,
2012-10,38.060,
2013-01,37.917,
2013-04,38.923,
2013-07,38.849,
2013-10,38.890,
2014-01,39.022,
2014-04,38.783,
2014-07,40.266,
