"",BBNZ1.Q.DE.Y.G.0112.A,BBNZ1.Q.DE.Y.G.0112.A_FLAGS
"",Germany / National accounts / Use of GDP / Net Exports of goods and services / At current prices / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:02,
1991-01,-0.109,
1991-04,-4.333,
1991-07,-1.810,
1991-10,-1.398,
1992-01,-1.383,
1992-04,-2.945,
1992-07,0.081,
1992-10,-4.670,
1993-01,1.723,
1993-04,-0.085,
1993-07,-1.506,
1993-10,0.576,
1994-01,1.867,
1994-04,2.757,
1994-07,-0.333,
1994-10,-1.010,
1995-01,2.368,
1995-04,1.969,
1995-07,1.616,
1995-10,2.987,
1996-01,3.474,
1996-04,2.759,
1996-07,4.706,
1996-10,4.942,
1997-01,2.654,
1997-04,5.293,
1997-07,7.413,
1997-10,8.203,
1998-01,6.680,
1998-04,7.070,
1998-07,6.374,
1998-10,6.355,
1999-01,2.247,
1999-04,4.222,
1999-07,3.205,
1999-10,4.308,
2000-01,4.164,
2000-04,3.835,
2000-07,-0.188,
2000-10,-1.922,
2001-01,6.242,
2001-04,6.764,
2001-07,10.470,
2001-10,15.716,
2002-01,21.698,
2002-04,22.704,
2002-07,27.086,
2002-10,25.999,
2003-01,15.974,
2003-04,18.541,
2003-07,23.849,
2003-10,23.357,
2004-01,28.495,
2004-04,32.824,
2004-07,25.398,
2004-10,25.834,
2005-01,32.650,
2005-04,27.760,
2005-07,29.637,
2005-10,24.928,
2006-01,25.765,
2006-04,29.539,
2006-07,31.846,
2006-10,39.764,
2007-01,37.276,
2007-04,43.143,
2007-07,44.340,
2007-10,43.630,
2008-01,43.085,
2008-04,43.613,
2008-07,34.396,
2008-10,30.319,
2009-01,21.121,
2009-04,29.688,
2009-07,31.491,
2009-10,38.065,
2010-01,30.684,
2010-04,30.513,
2010-07,34.747,
2010-10,35.155,
2011-01,31.925,
2011-04,29.367,
2011-07,33.821,
2011-10,33.182,
2012-01,36.385,
2012-04,41.337,
2012-07,46.036,
2012-10,39.036,
2013-01,39.184,
2013-04,42.150,
2013-07,39.978,
2013-10,43.917,
2014-01,44.273,
2014-04,45.741,
2014-07,49.251,
2014-10,51.716,
