"",BBK01.OUO006,BBK01.OUO006_FLAGS
"",Cash in hand and credit balances with central banks / Banks majority-owned by foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:15:56,
1985-12,0.641,
1986-01,0.339,
1986-02,0.496,
1986-03,0.565,
1986-04,0.535,
1986-05,0.561,
1986-06,1.006,
1986-07,0.464,
1986-08,0.461,
1986-09,0.534,
1986-10,0.410,
1986-11,0.576,
1986-12,0.652,
1987-01,0.624,
1987-02,0.566,
1987-03,0.775,
1987-04,0.554,
1987-05,0.650,
1987-06,0.552,
1987-07,0.487,
1987-08,0.923,
1987-09,0.561,
1987-10,0.524,
1987-11,0.688,
1987-12,0.849,
1988-01,0.532,
1988-02,0.938,
1988-03,0.883,
1988-04,0.650,
1988-05,0.794,
1988-06,0.637,
1988-07,0.729,
1988-08,0.984,
1988-09,0.705,
1988-10,0.758,
1988-11,0.914,
1988-12,0.821,
1989-01,0.672,
1989-02,0.672,
1989-03,0.752,
1989-04,0.778,
1989-05,0.793,
1989-06,0.604,
1989-07,0.967,
1989-08,0.607,
1989-09,0.729,
1989-10,0.939,
1989-11,0.830,
1989-12,1.048,
1990-01,0.723,
1990-02,0.979,
1990-03,0.648,
1990-04,0.695,
1990-05,0.777,
1990-06,0.732,
1990-07,0.833,
1990-08,0.869,
1990-09,1.312,
1990-10,0.951,
1990-11,1.201,
1990-12,1.007,
1991-01,0.949,
1991-02,0.889,
1991-03,0.887,
1991-04,0.812,
1991-05,0.847,
1991-06,0.855,
1991-07,1.082,
1991-08,0.765,
1991-09,1.004,
1991-10,0.801,
1991-11,0.997,
1991-12,1.024,
1992-01,0.885,
1992-02,0.804,
1992-03,1.003,
1992-04,1.263,
1992-05,0.988,
1992-06,0.907,
1992-07,0.905,
1992-08,1.058,
1992-09,0.839,
1992-10,1.002,
1992-11,1.235,
1992-12,1.847,
1993-01,1.767,
1993-02,1.687,
1993-03,1.628,
1993-04,1.569,
1993-05,1.410,
1993-06,1.349,
1993-07,1.659,
1993-08,2.428,
1993-09,1.147,
1993-10,1.374,
1993-11,2.390,
1993-12,2.179,
1994-01,2.003,
1994-02,1.830,
1994-03,1.554,
1994-04,1.370,
1994-05,1.566,
1994-06,1.804,
1994-07,1.347,
1994-08,1.319,
1994-09,1.326,
1994-10,1.505,
1994-11,1.414,
1994-12,1.424,
1995-01,1.739,
1995-02,1.386,
1995-03,1.062,
1995-04,1.205,
1995-05,1.106,
1995-06,1.010,
1995-07,0.988,
1995-08,0.867,
1995-09,1.127,
1995-10,1.007,
1995-11,0.990,
1995-12,1.238,
1996-01,0.913,
1996-02,1.003,
1996-03,0.962,
1996-04,1.026,
1996-05,1.058,
1996-06,1.121,
1996-07,0.823,
1996-08,1.015,
1996-09,1.018,
1996-10,1.101,
1996-11,1.251,
1996-12,1.157,
1997-01,1.123,
1997-02,0.903,
1997-03,1.037,
1997-04,0.683,
1997-05,0.889,
1997-06,1.139,
1997-07,0.827,
1997-08,1.456,
1997-09,1.335,
1997-10,1.311,
1997-11,1.772,
1997-12,1.213,
1998-01,0.676,
1998-02,0.930,
1998-03,1.442,
1998-04,1.003,
1998-05,0.856,
1998-06,1.459,
1998-07,0.941,
1998-08,1.429,
1998-09,1.317,
1998-10,1.701,
1998-11,2.573,
1998-12,1.900,
1999-01,2.410,
1999-02,1.812,
1999-03,1.843,
1999-04,1.756,
1999-05,1.874,
1999-06,1.913,
1999-07,2.031,
1999-08,2.422,
1999-09,1.244,
1999-10,2.620,
1999-11,2.332,
1999-12,2.725,
2000-01,2.538,
2000-02,1.202,
2000-03,2.757,
2000-04,4.116,
2000-05,1.605,
2000-06,1.278,
2000-07,0.901,
2000-08,2.490,
2000-09,0.854,
2000-10,0.849,
2000-11,0.702,
2000-12,0.835,
2001-01,1.031,
2001-02,2.266,
2001-03,1.537,
2001-04,1.233,
2001-05,1.629,
2001-06,2.176,
2001-07,1.282,
2001-08,1.147,
2001-09,1.229,
2001-10,1.514,
2001-11,1.860,
2001-12,1.814,
2002-01,2.283,
2002-02,1.781,
2002-03,1.441,
2002-04,1.538,
2002-05,2.151,
2002-06,1.609,
2002-07,1.579,
2002-08,2.805,
2002-09,1.843,
2002-10,2.488,
2002-11,2.362,
2002-12,2.803,
2003-01,2.556,
2003-02,1.655,
2003-03,3.495,
2003-04,3.423,
2003-05,2.177,
2003-06,3.060,
2003-07,2.146,
2003-08,2.557,
2003-09,2.380,
2003-10,2.406,
2003-11,2.188,
2003-12,2.700,
2004-01,2.896,
2004-02,1.774,
2004-03,2.225,
2004-04,2.369,
2004-05,2.651,
2004-06,2.787,
2004-07,1.632,
2004-08,2.574,
2004-09,2.698,
2004-10,2.674,
2004-11,3.673,
2004-12,2.932,
2005-01,4.032,
2005-02,3.320,
2005-03,3.926,
2005-04,2.325,
2005-05,4.018,
2005-06,4.703,
2005-07,2.937,
2005-08,3.394,
2005-09,4.291,
2005-10,2.149,
2005-11,2.700,
2005-12,8.144,
2006-01,5.001,
2006-02,4.721,
2006-03,4.405,
