"",BBFB1.M.N.DE.W1.S1.S1N.T.D.G3._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1N.T.D.G3._Z._Z._Z._T._X.N_FLAGS
1999-06,67.007,
1999-07,98.943,
1999-08,82.930,
1999-09,75.654,
1999-10,86.177,
1999-11,56.368,
1999-12,53.734,
2000-01,34.552,
2000-02,57.556,
2000-03,43.267,
2000-04,48.833,
2000-05,72.522,
2000-06,48.456,
2000-07,68.941,
2000-08,53.253,
2000-09,101.866,
2000-10,74.262,
2000-11,76.390,
2000-12,80.961,
2001-01,100.627,
2001-02,75.153,
2001-03,88.499,
2001-04,69.296,
2001-05,119.191,
2001-06,102.166,
2001-07,67.092,
2001-08,33.214,
2001-09,54.194,
2001-10,63.088,
2001-11,50.662,
2001-12,31.044,
2002-01,77.802,
2002-02,51.562,
2002-03,45.818,
2002-04,42.980,
2002-05,49.197,
2002-06,75.129,
2002-07,49.894,
2002-08,57.731,
2002-09,57.611,
2002-10,46.335,
2002-11,58.120,
2002-12,45.150,
2003-01,69.506,
2003-02,47.862,
2003-03,59.278,
2003-04,51.161,
2003-05,49.749,
2003-06,46.916,
2003-07,32.093,
2003-08,61.237,
2003-09,40.521,
2003-10,55.779,
2003-11,41.479,
2003-12,31.261,
2004-01,47.329,
2004-02,62.784,
2004-03,53.573,
2004-04,50.405,
2004-05,41.770,
2004-06,40.206,
2004-07,37.140,
2004-08,59.172,
2004-09,51.730,
2004-10,40.050,
2004-11,72.776,
2004-12,30.196,
2005-01,50.542,
2005-02,86.987,
2005-03,52.264,
2005-04,18.423,
2005-05,32.647,
2005-06,18.768,
2005-07,85.752,
2005-08,59.847,
2005-09,76.294,
2005-10,97.055,
2005-11,100.765,
2005-12,190.704,
2006-01,120.224,
2006-02,111.136,
2006-03,117.502,
2006-04,75.207,
2006-05,65.635,
2006-06,115.858,
2006-07,94.525,
2006-08,63.986,
2006-09,93.884,
2006-10,139.283,
2006-11,123.436,
2006-12,84.098,
2007-01,125.487,
2007-02,87.174,
2007-03,98.919,
2007-04,91.397,
2007-05,86.332,
2007-06,86.561,
2007-07,97.164,
2007-08,127.039,
2007-09,153.795,
2007-10,100.016,
2007-11,187.030,
2007-12,140.765,
2008-01,143.255,
2008-02,155.321,
2008-03,115.036,
2008-04,217.307,
2008-05,133.320,
2008-06,152.621,
2008-07,137.551,
2008-08,117.564,
2008-09,155.108,
2008-10,405.436,
2008-11,511.923,
2008-12,268.053,
2009-01,452.142,
2009-02,555.507,
2009-03,583.099,
2009-04,481.191,
2009-05,236.747,
2009-06,115.744,
2009-07,295.641,
2009-08,109.287,
2009-09,194.104,
2009-10,102.020,
2009-11,159.800,
2009-12,147.498,
2010-01,433.588,
2010-02,367.121,
2010-03,523.319,
2010-04,523.319,
2010-05,1203.607,
2010-06,926.098,
2010-07,459.699,
2010-08,532.434,
2010-09,458.668,
2010-10,395.111,
2010-11,669.205,
2010-12,567.463,
2011-01,438.411,
2011-02,499.221,
2011-03,488.084,
2011-04,333.601,
2011-05,432.452,
2011-06,680.993,
2011-07,639.634,
2011-08,1049.708,
2011-09,699.794,
2011-10,846.270,
2011-11,689.253,
2011-12,679.890,
2012-01,677.749,
2012-02,592.068,
2012-03,572.331,
2012-04,459.836,
2012-05,581.685,
2012-06,689.610,
2012-07,785.505,
2012-08,659.366,
2012-09,659.366,
2012-10,676.201,
2012-11,631.515,
2012-12,516.326,
2013-01,825.760,
2013-02,770.929,
2013-03,861.660,
2013-04,924.902,
2013-05,960.347,
2013-06,957.717,
2013-07,901.790,
2013-08,698.737,
2013-09,889.909,
2013-10,1130.036,
2013-11,1164.055,
2013-12,859.801,
2014-01,772.881,
2014-02,1197.850,
2014-03,1020.202,
2014-04,883.259,
2014-05,859.786,
2014-06,953.106,
2014-07,833.422,
2014-08,865.288,
2014-09,831.219,
2014-10,601.524,
2014-11,1128.235,
2014-12,1085.745,Provisional value
