"",BBK01.OEYK02M,BBK01.OEYK02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:54,
2002-01,0.331,
2002-04,0.312,
2002-07,0.378,
2002-10,0.371,
2003-01,0.367,
2003-04,0.370,
2003-07,0.357,
2003-10,0.363,
2004-01,0.324,
2004-04,0.313,
2004-07,0.309,
2004-10,0.338,
2005-01,0.342,
2005-04,0.351,
2005-07,0.330,
2005-10,0.345,
2006-01,0.322,
2006-04,0.363,
2006-07,0.401,
2006-10,0.441,
2007-01,0.426,
2007-04,0.389,
2007-07,0.401,
2007-10,0.387,
2008-01,0.401,
2008-04,0.375,
2008-07,0.391,
2008-10,0.399,
2009-01,0.431,
2009-04,0.453,
2009-07,0.465,
2009-10,0.470,
2010-01,0.550,
2010-04,0.547,
2010-07,0.557,
2010-10,0.557,
2011-01,0.553,
2011-04,0.526,
2011-07,0.544,
2011-10,0.529,
2012-01,0.542,
2012-04,0.556,
2012-07,0.603,
2012-10,0.604,
2013-01,0.544,
2013-04,0.494,
2013-07,0.510,
2013-10,0.531,
2014-01,0.532,
2014-04,0.538,
2014-07,0.567,
