"",BBSF2.M.1.S.00000.GEM01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.GEM01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Mixed securities funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:02,
2009-09,148723,
2009-10,149425,
2009-11,150368,
2009-12,150842,
2010-01,155416,
2010-02,155428,
2010-03,155506,
2010-04,149247,
2010-05,147624,
2010-06,149507,
2010-07,151371,
2010-08,155196,
2010-09,153789,
2010-10,155992,
2010-11,152239,
2010-12,158630,
2011-01,157815,
2011-02,158507,
2011-03,158617,
2011-04,158356,
2011-05,159750,
2011-06,158951,
2011-07,160394,
2011-08,160604,
2011-09,159106,
2011-10,158505,
2011-11,152961,
2011-12,153697,
2012-01,150194,
2012-02,156290,
2012-03,157813,
2012-04,159053,
2012-05,160095,
2012-06,158806,
2012-07,162065,
2012-08,163321,
2012-09,164610,
2012-10,164755,
2012-11,168505,
2012-12,170607,
2013-01,169388,
2013-02,173670,
2013-03,176181,
2013-04,179062,
2013-05,179124,
2013-06,177860,
2013-07,180272,
2013-08,180513,
2013-09,182161,
2013-10,182376,
2013-11,183476,
2013-12,183414,
2014-01,186360,
2014-02,187197,
2014-03,188416,
2014-04,189130,
2014-05,192060,
2014-06,194628,
2014-07,198668,
2014-08,210065,
2014-09,212305,
2014-10,213700,
2014-11,216090,
