"",BBK01.OECK04M,BBK01.OECK04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:59,
2002-01,0.237,
2002-04,0.216,
2002-07,0.217,
2002-10,0.219,
2003-01,0.184,
2003-04,0.270,
2003-07,0.260,
2003-10,0.205,
2004-01,0.255,
2004-04,0.243,
2004-07,0.234,
2004-10,0.263,
2005-01,0.295,
2005-04,0.296,
2005-07,0.290,
2005-10,0.263,
2006-01,0.276,
2006-04,0.291,
2006-07,0.309,
2006-10,0.279,
2007-01,0.299,
2007-04,0.377,
2007-07,0.407,
2007-10,0.465,
2008-01,0.468,
2008-04,0.498,
2008-07,0.553,
2008-10,0.510,
2009-01,0.405,
2009-04,0.327,
2009-07,0.275,
2009-10,0.159,
2010-01,0.090,
2010-04,0.077,
2010-07,0.056,
2010-10,0.058,
2011-01,0.069,
2011-04,0.067,
2011-07,0.068,
2011-10,0.074,
2012-01,0.088,
2012-04,0.064,
2012-07,0.062,
2012-10,0.043,
2013-01,0.030,
2013-04,0.028,
2013-07,0.033,
2013-10,0.033,
2014-01,0.029,
2014-04,0.027,
2014-07,0.023,
