"",BBK01.OEBB04P,BBK01.OEBB04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:01,
2002-01,2.076,
2002-04,2.095,
2002-07,2.127,
2002-10,2.174,
2003-01,2.213,
2003-04,2.227,
2003-07,2.249,
2003-10,2.142,
2004-01,2.145,
2004-04,2.128,
2004-07,2.129,
2004-10,2.088,
2005-01,2.283,
2005-04,2.294,
2005-07,2.322,
2005-10,2.323,
2006-01,2.304,
2006-04,2.321,
2006-07,2.331,
2006-10,2.383,
2007-01,2.435,
2007-04,2.411,
2007-07,2.462,
2007-10,2.548,
2008-01,2.570,
2008-04,3.381,
2008-07,3.370,
2008-10,3.344,
2009-01,3.340,
2009-04,3.670,
2009-07,3.630,
2009-10,3.606,
2010-01,3.565,
2010-04,3.555,
2010-07,3.403,
2010-10,3.462,
2011-01,3.477,
2011-04,3.476,
2011-07,3.491,
2011-10,3.486,
2012-01,3.477,
2012-04,3.453,
2012-07,3.455,
2012-10,3.433,
2013-01,3.405,
2013-04,3.356,
2013-07,3.338,
2013-10,3.402,
2014-01,3.379,
2014-04,3.347,
2014-07,3.351,
