"",BBK01.OEHI09R,BBK01.OEHI09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:18,
2002-01,1.146,
2002-04,1.131,
2002-07,1.095,
2002-10,1.091,
2003-01,1.080,
2003-04,1.056,
2003-07,1.028,
2003-10,1.057,
2004-01,0.988,
2004-04,0.952,
2004-07,0.927,
2004-10,0.915,
2005-01,0.869,
2005-04,0.832,
2005-07,0.783,
2005-10,0.788,
2006-01,0.827,
2006-04,0.842,
2006-07,0.865,
2006-10,0.905,
2007-01,0.985,
2007-04,0.985,
2007-07,1.023,
2007-10,1.038,
2008-01,1.024,
2008-04,1.041,
2008-07,1.035,
2008-10,1.082,
2009-01,1.030,
2009-04,0.982,
2009-07,0.870,
2009-10,0.934,
2010-01,0.913,
2010-04,0.844,
2010-07,0.779,
2010-10,0.771,
2011-01,0.681,
2011-04,0.699,
2011-07,0.703,
2011-10,0.726,
2012-01,0.690,
2012-04,0.734,
2012-07,0.714,
2012-10,0.663,
2013-01,0.646,
2013-04,0.609,
2013-07,0.515,
2013-10,0.464,
2014-01,0.430,
2014-04,0.418,
2014-07,0.386,
