"",BBK01.PQP352,BBK01.PQP352_FLAGS
"",Lending to domestic enterprises and resident individuals / Medium-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:05,
1985-10,1.704,
1986-01,1.702,
1986-04,1.646,
1986-07,1.713,
1986-10,1.700,
1987-01,1.730,
1987-04,1.868,
1987-07,1.944,
1987-10,2.001,
1988-01,2.024,
1988-04,1.988,
1988-07,2.103,
1988-10,2.149,
1989-01,2.130,
1989-04,2.141,
1989-07,2.053,
1989-10,1.985,
1990-01,1.965,
1990-04,2.480,
1990-07,2.549,
1990-10,2.594,
1991-01,2.628,
1991-04,2.788,
1991-07,2.933,
1991-10,3.060,
1992-01,3.165,
1992-04,3.114,
1992-07,3.259,
1992-10,4.431,
1993-01,4.368,
1993-04,4.371,
1993-07,4.478,
1993-10,4.312,
1994-01,6.548,
1994-04,6.472,
1994-07,7.126,
1994-10,7.184,
1995-01,7.110,
1995-04,7.173,
1995-07,7.276,
1995-10,7.410,
1996-01,7.626,
1996-04,7.677,
1996-07,7.978,
1996-10,8.079,
1997-01,7.905,
1997-04,8.991,
1997-07,7.903,
1997-10,7.914,
1998-01,7.815,
1998-04,7.828,
1998-07,7.757,
1998-10,7.747,
1999-01,9.747,
1999-04,9.308,
1999-07,9.603,
1999-10,9.624,
2000-01,11.431,
2000-04,11.506,
2000-07,11.737,
2000-10,12.708,
2001-01,13.027,
2001-04,15.550,
2001-07,15.940,
2001-10,15.772,
2002-01,15.893,
2002-04,18.004,
2002-07,18.238,
2002-10,19.076,
2003-01,18.992,
2003-04,19.472,
2003-07,19.741,
2003-10,20.337,
2004-01,20.684,
2004-04,21.541,
2004-07,22.166,
2004-10,22.169,
2005-01,22.004,
2005-04,23.041,
2005-07,24.465,
2005-10,30.067,
2006-01,30.660,
2006-04,31.189,
2006-07,33.014,
2006-10,33.067,
2007-01,34.647,
2007-04,37.070,
2007-07,38.633,
2007-10,39.036,
2008-01,41.721,
2008-04,42.079,
2008-07,42.050,
2008-10,43.455,
2009-01,45.673,
2009-04,45.530,
2009-07,45.719,
2009-10,48.286,
2010-01,46.181,
2010-04,46.627,
2010-07,44.857,
2010-10,45.209,
2011-01,45.242,
2011-04,44.336,
2011-07,44.931,
2011-10,44.435,
2012-01,43.424,
2012-04,43.469,
2012-07,43.416,
2012-10,43.204,
2013-01,43.660,
2013-04,43.946,
2013-07,43.397,
2013-10,42.669,
2014-01,43.653,
2014-04,43.301,
2014-07,44.153,
2014-10,45.011,
