"",BBFB1.Q.N.DE.SI.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.SI.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:47,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,0.474,
1992-10,1.012,
1993-01,-0.189,
1993-04,-4.964,
1993-07,1.642,
1993-10,0.217,
1994-01,24.384,
1994-04,11.609,
1994-07,20.710,
1994-10,6.059,
1995-01,-6.283,
1995-04,72.177,
1995-07,74.701,
1995-10,240.789,
1996-01,29.224,
1996-04,-1.988,
1996-07,23.463,
1996-10,137.770,
1997-01,9.309,
1997-04,165.639,
1997-07,137.087,
1997-10,191.582,
1998-01,124.832,
1998-04,49.647,
1998-07,143.323,
1998-10,294.817,
1999-01,178.302,
1999-04,299.341,
1999-07,108.166,
1999-10,176.383,
2000-01,85.841,
2000-04,112.272,
2000-07,151.208,
2000-10,104.868,
2001-01,-47.150,
2001-04,114.048,
2001-07,186.715,
2001-10,31.402,
2002-01,282.702,
2002-04,148.270,
2002-07,210.452,
2002-10,137.055,
2003-01,618.393,
2003-04,204.595,
2003-07,136.529,
2003-10,56.777,
2004-01,9.173,
2004-04,78.589,
2004-07,89.394,
2004-10,90.540,
2005-01,155.168,
2005-04,-4.981,
2005-07,-467.337,
2005-10,84.559,
2006-01,86.161,
2006-04,-19.525,
2006-07,-3.987,
2006-10,-19.674,
2007-01,141.069,
2007-04,14.825,
2007-07,107.388,
2007-10,82.886,
2008-01,-41.008,
2008-04,255.233,
2008-07,55.487,
2008-10,90.752,
2009-01,65.763,
2009-04,83.039,
2009-07,113.654,
2009-10,-3.748,
2010-01,131.338,
2010-04,77.260,
2010-07,27.311,
2010-10,85.606,
2011-01,90.915,
2011-04,40.259,
2011-07,235.891,
2011-10,88.057,
2012-01,185.822,
2012-04,84.291,
2012-07,65.596,
2012-10,1.760,
2013-01,51.539,
2013-04,19.013,
2013-07,6.063,
2013-10,1.132,
2014-01,4.319,Provisional value
2014-04,-113.544,Provisional value
2014-07,-47.614,Provisional value
2014-10,61.214,Provisional value
