"",BBK01.OEHL07R,BBK01.OEHL07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:12,
2002-01,4.432,
2002-04,4.376,
2002-07,4.385,
2002-10,4.485,
2003-01,4.516,
2003-04,4.496,
2003-07,4.505,
2003-10,4.621,
2004-01,4.619,
2004-04,4.598,
2004-07,4.573,
2004-10,4.652,
2005-01,4.655,
2005-04,4.628,
2005-07,4.620,
2005-10,4.679,
2006-01,4.627,
2006-04,4.589,
2006-07,4.568,
2006-10,4.569,
2007-01,4.527,
2007-04,4.461,
2007-07,4.403,
2007-10,4.437,
2008-01,4.377,
2008-04,4.338,
2008-07,4.285,
2008-10,4.369,
2009-01,4.395,
2009-04,4.410,
2009-07,4.440,
2009-10,4.632,
2010-01,4.667,
2010-04,4.669,
2010-07,4.664,
2010-10,4.777,
2011-01,4.769,
2011-04,4.760,
2011-07,4.742,
2011-10,4.790,
2012-01,4.802,
2012-04,4.823,
2012-07,4.840,
2012-10,4.865,
2013-01,4.888,
2013-04,4.850,
2013-07,4.845,
2013-10,4.871,
2014-01,4.876,
2014-04,4.839,
2014-07,4.830,
