"",BBFB1.Q.N.DE.FR.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:48,
1999-01,347.101,
1999-04,386.543,
1999-07,400.188,
1999-10,336.819,
2000-01,375.658,
2000-04,407.649,
2000-07,422.165,
2000-10,416.832,
2001-01,392.336,
2001-04,449.780,
2001-07,479.495,
2001-10,404.435,
2002-01,379.269,
2002-04,448.622,
2002-07,494.956,
2002-10,416.501,
2003-01,399.997,
2003-04,478.917,
2003-07,514.263,
2003-10,445.808,
2004-01,431.302,
2004-04,506.434,
2004-07,536.453,
2004-10,457.405,
2005-01,466.492,
2005-04,555.456,
2005-07,562.503,
2005-10,515.696,
2006-01,492.751,
2006-04,671.443,
2006-07,670.641,
2006-10,581.904,
2007-01,494.538,
2007-04,601.897,
2007-07,657.138,
2007-10,610.511,
2008-01,503.568,
2008-04,641.521,
2008-07,681.098,
2008-10,617.378,
2009-01,475.835,
2009-04,588.489,
2009-07,667.982,
2009-10,613.124,
2010-01,488.512,
2010-04,615.441,
2010-07,718.224,
2010-10,627.990,
2011-01,543.692,
2011-04,630.040,
2011-07,762.371,
2011-10,646.223,
2012-01,549.746,
2012-04,616.106,
2012-07,703.285,
2012-10,639.419,
2013-01,563.754,
2013-04,632.801,
2013-07,721.538,
2013-10,636.653,
2014-01,554.421,Provisional value
2014-04,649.938,Provisional value
2014-07,725.457,Provisional value
2014-10,657.987,Provisional value
