"",BBK01.OELM01G,BBK01.OELM01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:26,
2002-01,0.962,
2002-04,1.031,
2002-07,1.000,
2002-10,1.249,
2003-01,1.022,
2003-04,1.001,
2003-07,1.050,
2003-10,1.264,
2004-01,0.965,
2004-04,1.109,
2004-07,1.181,
2004-10,1.349,
2005-01,1.146,
2005-04,1.194,
2005-07,1.199,
2005-10,1.354,
2006-01,1.266,
2006-04,1.406,
2006-07,1.513,
2006-10,1.686,
2007-01,1.568,
2007-04,1.722,
2007-07,1.675,
2007-10,1.943,
2008-01,1.649,
2008-04,1.574,
2008-07,1.647,
2008-10,1.802,
2009-01,1.841,
2009-04,2.042,
2009-07,1.940,
2009-10,1.930,
2010-01,1.787,
2010-04,1.882,
2010-07,1.871,
2010-10,1.772,
2011-01,1.661,
2011-04,1.791,
2011-07,1.926,
2011-10,2.122,
2012-01,2.151,
2012-04,2.291,
2012-07,2.586,
2012-10,2.839,
2013-01,3.207,
2013-04,3.034,
2013-07,3.339,
2013-10,3.094,
2014-01,3.327,
2014-04,3.782,
2014-07,3.745,
