"",BBK01.OEAC16G,BBK01.OEAC16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:16,
2002-01,38.068,
2002-04,39.883,
2002-07,39.211,
2002-10,38.088,
2003-01,35.152,
2003-04,37.689,
2003-07,34.685,
2003-10,33.281,
2004-01,33.760,
2004-04,34.184,
2004-07,31.104,
2004-10,31.167,
2005-01,31.821,
2005-04,33.666,
2005-07,31.120,
2005-10,29.601,
2006-01,30.952,
2006-04,32.071,
2006-07,32.037,
2006-10,30.641,
2007-01,32.584,
2007-04,34.035,
2007-07,36.061,
2007-10,38.031,
2008-01,38.119,
2008-04,39.228,
2008-07,39.796,
2008-10,40.468,
2009-01,43.531,
2009-04,41.597,
2009-07,39.053,
2009-10,35.545,
2010-01,35.180,
2010-04,34.513,
2010-07,33.952,
2010-10,32.094,
2011-01,33.457,
2011-04,32.885,
2011-07,32.930,
2011-10,32.397,
2012-01,33.346,
2012-04,36.145,
2012-07,36.194,
2012-10,34.262,
2013-01,35.735,
2013-04,34.676,
2013-07,31.038,
2013-10,27.537,
2014-01,28.285,
2014-04,28.851,
2014-07,28.412,
