"",BBFN1.M.DE.N.1.A.W1.S1P.H0.T.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H0.T.N000.Z06.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:34,
1974-12,5.039,
1975-01,5.380,
1975-02,5.170,
1975-03,5.411,
1975-04,5.381,
1975-05,5.429,
1975-06,5.450,
1975-07,5.548,
1975-08,5.609,
1975-09,5.829,
1975-10,6.141,
1975-11,6.296,
1975-12,6.274,
1976-01,6.263,
1976-02,6.222,
1976-03,6.287,
1976-04,6.523,
1976-05,6.848,
1976-06,6.999,
1976-07,7.146,
1976-08,7.084,
1976-09,7.109,
1976-10,7.451,
1976-11,7.529,
1976-12,7.401,
1977-01,7.493,
1977-02,7.723,
1977-03,8.058,
1977-04,8.419,
1977-05,8.718,
1977-06,8.693,
1977-07,8.475,
1977-08,8.547,
1977-09,8.484,
1977-10,9.054,
1977-11,8.867,
1977-12,8.725,
1978-01,8.809,
1978-02,8.892,
1978-03,9.237,
1978-04,9.161,
1978-05,9.559,
1978-06,9.409,
1978-07,9.433,
1978-08,9.446,
1978-09,9.963,
1978-10,10.112,
1978-11,10.245,
1978-12,9.808,
1979-01,9.765,
1979-02,10.057,
1979-03,10.627,
1979-04,10.766,
1979-05,11.131,
1979-06,11.374,
1979-07,11.251,
1979-08,10.982,
1979-09,11.049,
1979-10,11.531,
1979-11,11.874,
1979-12,11.437,
1980-01,11.959,
1980-02,12.447,
1980-03,12.827,
1980-04,12.965,
1980-05,13.003,
1980-06,12.782,
1980-07,12.490,
1980-08,12.171,
1980-09,12.433,
1980-10,12.706,
1980-11,13.443,
1980-12,12.943,
1981-01,13.175,
1981-02,13.808,
1981-03,14.094,
1981-04,14.756,
1981-05,14.887,
1981-06,15.195,
1981-07,14.977,
1981-08,15.245,
1981-09,15.942,
1981-10,15.959,
1981-11,15.750,
1981-12,15.454,
1982-01,15.585,
1982-02,16.194,
1982-03,16.593,
1982-04,16.896,
1982-05,17.352,
1982-06,16.748,
1982-07,16.463,
1982-08,16.159,
1982-09,16.383,
1982-10,16.564,
1982-11,16.613,
1982-12,15.302,
1983-01,15.428,
1983-02,15.725,
1983-03,16.146,
1983-04,16.247,
1983-05,16.360,
1983-06,16.497,
1983-07,16.378,
1983-08,16.472,
1983-09,16.908,
1983-10,17.169,
1983-11,17.536,
1983-12,17.401,
1984-01,17.922,
1984-02,18.237,
1984-03,18.452,
1984-04,18.642,
1984-05,18.674,
1984-06,18.652,
1984-07,18.210,
1984-08,17.939,
1984-09,18.489,
1984-10,18.970,
1984-11,19.445,
1984-12,19.123,
1985-01,19.008,
1985-02,19.182,
