"",BBK01.OEAF15I,BBK01.OEAF15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:36,
2002-01,1.911,
2002-04,1.895,
2002-07,1.970,
2002-10,1.943,
2003-01,1.863,
2003-04,1.916,
2003-07,1.854,
2003-10,1.711,
2004-01,1.547,
2004-04,1.577,
2004-07,1.594,
2004-10,1.471,
2005-01,1.515,
2005-04,1.465,
2005-07,1.652,
2005-10,1.610,
2006-01,1.651,
2006-04,1.540,
2006-07,1.529,
2006-10,1.482,
2007-01,1.467,
2007-04,1.510,
2007-07,1.565,
2007-10,1.561,
2008-01,1.730,
2008-04,1.914,
2008-07,2.069,
2008-10,2.241,
2009-01,2.082,
2009-04,2.117,
2009-07,2.256,
2009-10,2.231,
2010-01,2.301,
2010-04,2.402,
2010-07,2.412,
2010-10,2.395,
2011-01,2.136,
2011-04,2.205,
2011-07,2.193,
2011-10,2.180,
2012-01,2.183,
2012-04,2.254,
2012-07,2.294,
2012-10,2.333,
2013-01,2.202,
2013-04,2.296,
2013-07,2.470,
2013-10,2.671,
2014-01,2.485,
2014-04,2.528,
2014-07,2.649,
