"",BBK01.OEXB21R,BBK01.OEXB21R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:53,
2002-01,0.477,
2002-04,0.490,
2002-07,0.508,
2002-10,0.550,
2003-01,0.538,
2003-04,0.559,
2003-07,0.573,
2003-10,0.610,
2004-01,0.621,
2004-04,0.633,
2004-07,0.630,
2004-10,0.618,
2005-01,0.641,
2005-04,0.626,
2005-07,0.635,
2005-10,0.617,
2006-01,0.632,
2006-04,0.625,
2006-07,0.627,
2006-10,0.641,
2007-01,0.623,
2007-04,0.598,
2007-07,0.581,
2007-10,0.527,
2008-01,0.567,
2008-04,0.541,
2008-07,0.526,
2008-10,0.512,
2009-01,0.515,
2009-04,0.505,
2009-07,0.512,
2009-10,0.523,
2010-01,0.657,
2010-04,0.670,
2010-07,0.698,
2010-10,0.756,
2011-01,0.760,
2011-04,0.769,
2011-07,0.774,
2011-10,0.780,
2012-01,0.786,
2012-04,0.795,
2012-07,0.796,
2012-10,0.822,
2013-01,0.826,
2013-04,0.826,
2013-07,0.882,
2013-10,0.938,
2014-01,0.952,
2014-04,0.954,
2014-07,0.978,
