"",BBK01.CEB40C,BBK01.CEB40C_FLAGS
"",Loans debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:45,
1991-01,37.2,
1991-04,39.5,
1991-07,41.5,
1991-10,43.1,
1992-01,45.6,
1992-04,47.9,
1992-07,49.7,
1992-10,52.1,
1993-01,53.9,
1993-04,55.4,
1993-07,58.0,
1993-10,59.7,
1994-01,62.9,
1994-04,65.4,
1994-07,67.0,
1994-10,69.1,
1995-01,84.0,
1995-04,87.1,
1995-07,88.4,
1995-10,86.9,
1996-01,89.7,
1996-04,93.2,
1996-07,94.6,
1996-10,90.2,
1997-01,93.2,
1997-04,96.1,
1997-07,96.2,
1997-10,91.6,
1998-01,94.6,
1998-04,97.5,
1998-07,98.4,
1998-10,93.6,
1999-01,93.1,
1999-04,92.8,
1999-07,92.8,
1999-10,94.7,
2000-01,95.4,
2000-04,96.5,
2000-07,97.5,
2000-10,98.3,
2001-01,98.3,
2001-04,98.7,
2001-07,98.0,
2001-10,98.9,
2002-01,98.4,
2002-04,98.1,
2002-07,97.1,
2002-10,97.2,
2003-01,97.4,
2003-04,96.8,
2003-07,96.4,
2003-10,95.2,
2004-01,95.8,
2004-04,94.6,
2004-07,89.7,
2004-10,87.5,
2005-01,88.6,
2005-04,85.8,
2005-07,84.5,
2005-10,79.5,
2006-01,78.6,
2006-04,78.3,
2006-07,76.6,
2006-10,75.1,
2007-01,74.5,
2007-04,75.0,
2007-07,74.7,
2007-10,75.5,
2008-01,73.2,
2008-04,76.7,
2008-07,74.3,
2008-10,85.6,
2009-01,83.0,
2009-04,87.9,
2009-07,90.8,
2009-10,87.8,
2010-01,87.7,
2010-04,114.0,
2010-07,106.7,
2010-10,141.9,
2011-01,131.8,
2011-04,146.7,
2011-07,140.0,
2011-10,134.2,
2012-01,140.4,
2012-04,172.7,
2012-07,174.0,
2012-10,186.4,
2013-01,190.4,
2013-04,199.4,
2013-07,181.5,
2013-10,195.4,
2014-01,185.5,
