"",BBK01.OEAH91M,BBK01.OEAH91M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:09,
2002-01,9.273,
2002-04,8.786,
2002-07,8.976,
2002-10,9.097,
2003-01,9.078,
2003-04,9.024,
2003-07,8.961,
2003-10,9.171,
2004-01,9.460,
2004-04,9.921,
2004-07,9.873,
2004-10,10.028,
2005-01,10.449,
2005-04,10.859,
2005-07,10.944,
2005-10,11.029,
2006-01,10.686,
2006-04,9.326,
2006-07,9.379,
2006-10,10.488,
2007-01,9.357,
2007-04,9.270,
2007-07,8.584,
2007-10,7.664,
2008-01,7.168,
2008-04,7.175,
2008-07,7.473,
2008-10,7.107,
2009-01,6.960,
2009-04,1.718,
2009-07,1.661,
2009-10,1.669,
2010-01,1.571,
2010-04,1.565,
2010-07,1.581,
2010-10,1.572,
2011-01,1.338,
2011-04,1.323,
2011-07,1.340,
2011-10,1.348,
2012-01,1.350,
2012-04,1.335,
2012-07,1.296,
2012-10,1.279,
2013-01,1.283,
2013-04,1.344,
2013-07,1.314,
2013-10,1.294,
2014-01,1.651,
2014-04,1.903,
2014-07,1.944,
