"",BBSF2.M.1.P.00000.GEF01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed funds / Number,
unit,STUECK (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:12,
2004-01,5,
2004-02,5,
2004-03,5,
2004-04,5,
2004-05,6,
2004-06,6,
2004-07,6,
2004-08,6,
2004-09,6,
2004-10,6,
2004-11,6,
2004-12,6,
2005-01,6,
2005-02,6,
2005-03,6,
2005-04,10,
2005-05,10,
2005-06,10,
2005-07,11,
2005-08,17,
2005-09,19,
2005-10,19,
2005-11,23,
2005-12,25,
2006-01,33,
2006-02,33,
2006-03,35,
2006-04,35,
2006-05,37,
2006-06,37,
2006-07,39,
2006-08,40,
2006-09,43,
2006-10,46,
2006-11,47,
2006-12,47,
2007-01,48,
2007-02,53,
2007-03,53,
2007-04,55,
2007-05,67,
2007-06,69,
2007-07,70,
2007-08,73,
2007-09,74,
2007-10,123,
2007-11,131,
2007-12,163,
2008-01,172,
2008-02,181,
2008-03,192,
2008-04,201,
2008-05,207,
2008-06,214,
2008-07,220,
2008-08,220,
2008-09,233,
2008-10,247,
2008-11,259,
2008-12,275,
2009-01,278,
2009-02,283,
2009-03,277,
2009-04,274,
2009-05,313,
2009-06,322,
2009-07,326,
2009-08,330,
2009-09,326,
2009-10,327,
2009-11,330,
2009-12,330,
2010-01,338,
2010-02,340,
2010-03,346,
2010-04,348,
2010-05,360,
2010-06,364,
2010-07,367,
2010-08,374,
2010-09,375,
2010-10,373,
2010-11,374,
2010-12,372,
2011-01,371,
2011-02,368,
2011-03,370,
2011-04,371,
2011-05,368,
2011-06,368,
2011-07,355,
2011-08,354,
2011-09,354,
2011-10,357,
2011-11,358,
2011-12,361,
2012-01,360,
2012-02,364,
2012-03,360,
2012-04,362,
2012-05,353,
2012-06,348,
2012-07,356,
2012-08,359,
2012-09,359,
2012-10,362,
2012-11,356,
2012-12,352,
2013-01,338,
2013-02,338,
2013-03,342,
2013-04,346,
2013-05,348,
2013-06,342,
2013-07,356,
2013-08,362,
2013-09,362,
2013-10,362,
2013-11,358,
2013-12,356,
2014-01,353,
2014-02,354,
2014-03,353,
2014-04,354,
2014-05,352,
2014-06,352,
2014-07,351,
2014-08,311,
2014-09,309,
2014-10,310,
2014-11,304,
