"",BBDP1.M.DE.Y.EPG.G.GP09SA001500.I10.A,BBDP1.M.DE.Y.EPG.G.GP09SA001500.I10.A_FLAGS
"",Index of producer prices of industrial products sold on the domestic market / Germany / Calendar and seasonally adjusted / Total excluding energy sources (energy excluding 36 natural water; water treatment and supply services),
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-20 08:08:11,
1991-01,83.0,
1991-02,83.1,
1991-03,83.3,
1991-04,83.6,
1991-05,83.6,
1991-06,83.8,
1991-07,84.0,
1991-08,84.1,
1991-09,84.2,
1991-10,84.3,
1991-11,84.3,
1991-12,84.3,
1992-01,84.4,
1992-02,84.6,
1992-03,85.0,
1992-04,85.2,
1992-05,85.4,
1992-06,85.6,
1992-07,85.6,
1992-08,85.7,
1992-09,85.7,
1992-10,85.5,
1992-11,85.6,
1992-12,85.6,
1993-01,85.6,
1993-02,85.6,
1993-03,85.5,
1993-04,85.6,
1993-05,85.4,
1993-06,85.4,
1993-07,85.6,
1993-08,85.6,
1993-09,85.4,
1993-10,85.3,
1993-11,85.4,
1993-12,85.5,
1994-01,85.4,
1994-02,85.5,
1994-03,85.6,
1994-04,85.6,
1994-05,85.7,
1994-06,85.7,
1994-07,85.8,
1994-08,85.9,
1994-09,86.0,
1994-10,86.1,
1994-11,86.5,
1994-12,86.7,
1995-01,87.4,
1995-02,87.6,
1995-03,87.8,
1995-04,87.8,
1995-05,87.8,
1995-06,87.9,
1995-07,87.9,
1995-08,88.1,
1995-09,88.2,
1995-10,88.2,
1995-11,88.1,
1995-12,88.1,
1996-01,88.0,
1996-02,87.8,
1996-03,87.8,
1996-04,87.7,
1996-05,87.8,
1996-06,87.8,
1996-07,87.6,
1996-08,87.6,
1996-09,87.7,
1996-10,87.8,
1996-11,87.8,
1996-12,87.9,
1997-01,87.8,
1997-02,87.8,
1997-03,87.8,
1997-04,87.9,
1997-05,88.2,
1997-06,88.2,
1997-07,88.4,
1997-08,88.5,
1997-09,88.7,
1997-10,88.7,
1997-11,88.7,
1997-12,88.8,
1998-01,88.8,
1998-02,88.9,
1998-03,88.9,
1998-04,88.7,
1998-05,88.7,
1998-06,88.7,
1998-07,88.7,
1998-08,88.6,
1998-09,88.5,
1998-10,88.3,
1998-11,88.1,
1998-12,88.1,
1999-01,87.8,
1999-02,87.7,
1999-03,87.6,
1999-04,87.6,
1999-05,87.5,
1999-06,87.6,
1999-07,87.8,
1999-08,87.8,
1999-09,87.9,
1999-10,88.1,
1999-11,88.3,
1999-12,88.2,
2000-01,88.5,
2000-02,88.6,
2000-03,88.7,
2000-04,89.0,
2000-05,89.2,
2000-06,89.3,
2000-07,89.5,
2000-08,89.7,
2000-09,89.9,
2000-10,89.9,
2000-11,90.2,
2000-12,90.3,
2001-01,90.5,
2001-02,90.5,
2001-03,90.7,
2001-04,90.8,
2001-05,90.8,
2001-06,90.8,
2001-07,90.7,
2001-08,90.9,
2001-09,90.8,
2001-10,90.7,
2001-11,90.7,
2001-12,90.6,
2002-01,90.8,
2002-02,90.6,
2002-03,90.8,
2002-04,90.8,
2002-05,90.8,
2002-06,90.9,
2002-07,91.0,
2002-08,91.0,
2002-09,91.0,
2002-10,91.1,
2002-11,91.0,
2002-12,91.1,
2003-01,91.3,
2003-02,91.3,
2003-03,91.3,
2003-04,91.2,
2003-05,91.2,
2003-06,91.1,
2003-07,91.1,
2003-08,91.0,
2003-09,91.2,
2003-10,91.2,
2003-11,91.4,
2003-12,91.4,
2004-01,91.2,
2004-02,91.4,
2004-03,91.8,
2004-04,92.1,
2004-05,92.2,
2004-06,92.3,
2004-07,92.7,
2004-08,92.8,
2004-09,93.0,
2004-10,93.2,
2004-11,93.4,
2004-12,93.9,
2005-01,94.2,
2005-02,94.3,
2005-03,94.3,
2005-04,94.0,
2005-05,93.9,
2005-06,93.9,
2005-07,93.8,
2005-08,93.8,
2005-09,94.0,
2005-10,94.3,
2005-11,94.4,
2005-12,94.6,
2006-01,94.7,
2006-02,94.9,
2006-03,94.9,
2006-04,95.4,
2006-05,95.6,
2006-06,95.6,
2006-07,96.2,
2006-08,96.4,
2006-09,96.4,
2006-10,96.9,
2006-11,97.0,
2006-12,97.3,
2007-01,97.4,
2007-02,97.4,
2007-03,97.4,
2007-04,97.7,
2007-05,97.9,
2007-06,98.0,
2007-07,98.1,
2007-08,98.3,
2007-09,98.2,
2007-10,98.8,
2007-11,98.9,
2007-12,98.9,
2008-01,99.1,
2008-02,99.5,
2008-03,99.8,
