"",BBFB1.Q.N.DE.A2.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:35,
1991-01,-4691.593,
1991-04,-174.801,
1991-07,-396.939,
1991-10,-169.015,
1992-01,-603.870,
1992-04,-167.740,
1992-07,-196.801,
1992-10,-252.435,
1993-01,-441.797,
1993-04,-267.033,
1993-07,-274.316,
1993-10,-289.079,
1994-01,-179.019,
1994-04,-310.309,
1994-07,-276.117,
1994-10,-229.897,
1995-01,-265.600,
1995-04,-234.841,
1995-07,-349.748,
1995-10,-273.522,
1996-01,-264.172,
1996-04,-258.284,
1996-07,-235.208,
1996-10,-213.937,
1997-01,-385.659,
1997-04,-266.075,
1997-07,-399.614,
1997-10,-285.095,
1998-01,-282.894,
1998-04,-176.211,
1998-07,-383.499,
1998-10,-332.500,
1999-01,-184.774,
1999-04,-121.850,
1999-07,-179.801,
1999-10,-197.058,
2000-01,-534.491,
2000-04,-193.734,
2000-07,-247.004,
2000-10,-161.032,
2001-01,-470.085,
2001-04,-275.427,
2001-07,-304.355,
2001-10,-430.411,
2002-01,-555.338,
2002-04,-768.636,
2002-07,-386.601,
2002-10,-1024.001,
2003-01,-435.574,
2003-04,-82.817,
2003-07,-690.727,
2003-10,-496.216,
2004-01,-348.951,
2004-04,-386.966,
2004-07,-616.099,
2004-10,-557.201,
2005-01,-483.775,
2005-04,-465.651,
2005-07,-454.277,
2005-10,-825.929,
2006-01,-529.652,
2006-04,-39.415,
2006-07,-656.745,
2006-10,-431.935,
2007-01,-476.496,
2007-04,375.166,
2007-07,-728.475,
2007-10,-583.402,
2008-01,-756.576,
2008-04,-130.364,
2008-07,-1225.612,
2008-10,-1101.375,
2009-01,-386.833,
2009-04,-519.915,
2009-07,-657.654,
2009-10,-987.139,
2010-01,-456.933,
2010-04,157.619,
2010-07,-509.141,
2010-10,-726.059,
2011-01,-259.204,
2011-04,439.784,
2011-07,-298.260,
2011-10,-417.054,
2012-01,-475.746,
2012-04,574.629,
2012-07,-341.806,
2012-10,-769.552,
2013-01,-353.091,
2013-04,574.112,
2013-07,-227.523,
2013-10,-484.921,
2014-01,-104.842,Provisional value
2014-04,508.715,Provisional value
2014-07,-709.755,Provisional value
