"",BBK01.OEAC29T,BBK01.OEAC29T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:41,
2002-01,0.482,
2002-04,0.484,
2002-07,0.484,
2002-10,0.466,
2003-01,0.462,
2003-04,0.453,
2003-07,0.446,
2003-10,0.431,
2004-01,0.417,
2004-04,0.411,
2004-07,0.394,
2004-10,0.362,
2005-01,0.392,
2005-04,0.373,
2005-07,0.358,
2005-10,0.331,
2006-01,0.354,
2006-04,0.341,
2006-07,0.319,
2006-10,0.300,
2007-01,0.294,
2007-04,0.299,
2007-07,0.289,
2007-10,0.271,
2008-01,0.281,
2008-04,0.290,
2008-07,0.281,
2008-10,0.267,
2009-01,0.287,
2009-04,0.282,
2009-07,0.273,
2009-10,0.251,
2010-01,0.262,
2010-04,0.266,
2010-07,0.257,
2010-10,0.240,
2011-01,0.245,
2011-04,0.250,
2011-07,0.238,
2011-10,0.227,
2012-01,0.240,
2012-04,0.252,
2012-07,0.236,
2012-10,0.236,
2013-01,0.248,
2013-04,0.246,
2013-07,0.237,
2013-10,0.227,
2014-01,0.231,
2014-04,0.241,
2014-07,0.234,
