"",BBK01.RJ2041,BBK01.RJ2041_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:24:08,
1989,-,Nothing exists
1990,3,
1991,5,
1992,5,
1993,6,
1994,.,No value available
1995,.,No value available
1996,.,No value available
1997,.,No value available
1998,9,
1999,.,No value available
2000,189,
2001,101,
2002,.,No value available
2003,-,Nothing exists
2004,.,No value available
2005,.,No value available
2006,.,No value available
2007,.,No value available
2008,38,
2009,51,
2010,829,
2011,67,
2012,29,
