"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.GR.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.GR.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Greece / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:04,
2009-09,7138,
2009-10,7156,
2009-11,7284,
2009-12,7169,
2010-01,6551,
2010-02,6821,
2010-03,7308,
2010-04,5434,
2010-05,4862,
2010-06,3812,
2010-07,3674,
2010-08,3465,
2010-09,3702,
2010-10,3687,
2010-11,3343,
2010-12,3245,
2011-01,3305,
2011-02,3215,
2011-03,2943,
2011-04,2280,
2011-05,2022,
2011-06,1874,
2011-07,1917,
2011-08,1640,
2011-09,1291,
2011-10,1268,
2011-11,858,
2011-12,847,
2012-01,818,
2012-02,735,
2012-03,191,
2012-04,149,
2012-05,46,
2012-06,44,
2012-07,46,
2012-08,53,
2012-09,58,
2012-10,69,
2012-11,78,
2012-12,15,
2013-01,13,
2013-02,12,
2013-03,11,
2013-04,10,
2013-05,12,
2013-06,10,
2013-07,9,
2013-08,9,
2013-09,10,
2013-10,11,
2013-11,5,
2013-12,6,
2014-01,6,
2014-02,5,
2014-03,5,
2014-04,15,
2014-05,18,
2014-06,22,
2014-07,20,
2014-08,21,
2014-09,20,
2014-10,23,
2014-11,26,
