"",BBK01.OECB06T,BBK01.OECB06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:02,
2002-01,0.510,
2002-04,0.521,
2002-07,0.486,
2002-10,0.459,
2003-01,0.459,
2003-04,0.452,
2003-07,0.452,
2003-10,0.395,
2004-01,0.385,
2004-04,0.382,
2004-07,0.346,
2004-10,0.396,
2005-01,0.398,
2005-04,0.395,
2005-07,0.432,
2005-10,0.404,
2006-01,0.406,
2006-04,0.384,
2006-07,0.418,
2006-10,0.361,
2007-01,0.375,
2007-04,0.396,
2007-07,0.343,
2007-10,0.366,
2008-01,0.563,
2008-04,0.603,
2008-07,0.558,
2008-10,0.427,
2009-01,0.456,
2009-04,0.453,
2009-07,0.437,
2009-10,0.445,
2010-01,0.407,
2010-04,0.391,
2010-07,0.423,
2010-10,0.355,
2011-01,0.391,
2011-04,0.408,
2011-07,0.384,
2011-10,0.340,
2012-01,0.387,
2012-04,0.375,
2012-07,0.364,
2012-10,0.368,
2013-01,0.394,
2013-04,0.350,
2013-07,0.364,
2013-10,0.310,
2014-01,0.641,
2014-04,0.607,
2014-07,0.667,
