"",BBFN1.M.DE.N.1.A.BR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Brazil,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:23,
1994-12,1.963,
1995-01,1.986,
1995-02,2.098,
1995-03,2.225,
1995-04,2.265,
1995-05,2.364,
1995-06,2.471,
1995-07,2.502,
1995-08,2.476,
1995-09,2.461,
1995-10,2.361,
1995-11,2.523,
1995-12,2.432,
1996-01,2.385,
1996-02,2.358,
1996-03,2.430,
1996-04,2.453,
1996-05,2.455,
1996-06,2.545,
1996-07,2.524,
1996-08,2.562,
1996-09,2.568,
1996-10,2.639,
1996-11,2.699,
1996-12,2.702,
1997-01,2.645,
1997-02,2.624,
1997-03,2.736,
1997-04,2.763,
1997-05,2.667,
1997-06,2.539,
1997-07,2.596,
1997-08,2.662,
1997-09,2.660,
1997-10,2.565,
1997-11,2.689,
1997-12,2.560,
1998-01,2.630,
1998-02,2.640,
1998-03,2.630,
1998-04,2.616,
1998-05,2.657,
1998-06,2.721,
1998-07,2.821,
1998-08,2.844,
1998-09,2.911,
1998-10,2.924,
1998-11,2.904,
1998-12,2.951,
1999-01,2.878,
1999-02,2.954,
1999-03,2.984,
1999-04,2.744,
1999-05,2.884,
1999-06,3.010,
1999-07,3.181,
1999-08,3.339,
1999-09,3.313,
1999-10,3.610,
1999-11,3.599,
1999-12,3.425,
2000-01,3.656,
2000-02,3.388,
2000-03,3.419,
2000-04,3.513,
2000-05,3.492,
2000-06,3.525,
2000-07,3.586,
2000-08,3.633,
2000-09,3.871,
2000-10,3.572,
2000-11,3.587,
2000-12,3.590,
2001-01,3.545,
2001-02,3.690,
2001-03,3.667,
2001-04,4.076,
2001-05,3.876,
2001-06,4.207,
2001-07,4.330,
2001-08,4.348,
2001-09,4.303,
2001-10,4.300,
2001-11,4.033,
2001-12,4.007,
2002-01,3.824,
2002-02,3.779,
2002-03,3.788,
2002-04,3.784,
2002-05,3.825,
2002-06,3.847,
2002-07,3.967,
2002-08,3.942,
2002-09,3.909,
2002-10,3.661,
2002-11,3.984,
2002-12,3.506,
2003-01,3.053,
2003-02,2.955,
2003-03,2.918,
2003-04,2.944,
2003-05,2.932,
2003-06,2.890,
2003-07,2.966,
2003-08,2.983,
2003-09,2.928,
2003-10,3.019,
2003-11,3.011,
2003-12,2.668,
2004-01,2.889,
2004-02,2.951,
2004-03,2.610,
2004-04,2.814,
2004-05,2.890,
2004-06,2.705,
2004-07,2.901,
2004-08,2.964,
2004-09,2.894,
2004-10,2.906,
2004-11,2.885,
2004-12,2.699,
2005-01,2.665,
2005-02,2.671,
2005-03,2.889,
2005-04,2.912,
2005-05,2.890,
2005-06,2.947,
2005-07,2.993,
2005-08,2.931,
2005-09,2.889,
2005-10,2.849,
2005-11,2.815,
2005-12,2.687,
2006-01,2.688,
2006-02,2.601,
2006-03,2.693,
2006-04,2.638,
2006-05,2.700,
2006-06,2.754,
2006-07,2.816,
2006-08,2.847,
2006-09,2.837,
2006-10,3.323,
2006-11,3.279,
2006-12,2.864,
2007-01,2.810,
2007-02,2.887,
2007-03,2.913,
2007-04,2.921,
2007-05,2.914,
2007-06,3.041,
2007-07,3.021,
2007-08,3.070,
2007-09,3.029,
2007-10,2.925,
2007-11,2.914,
2007-12,2.887,
2008-01,2.803,
2008-02,2.882,
2008-03,2.987,
2008-04,2.985,
2008-05,3.036,
2008-06,3.105,
2008-07,3.249,
2008-08,3.369,
2008-09,3.503,
2008-10,3.608,
2008-11,3.784,
2008-12,3.517,
2009-01,3.400,
2009-02,3.401,
2009-03,3.326,
2009-04,3.196,
2009-05,3.142,
2009-06,3.057,
2009-07,3.053,
2009-08,3.024,
2009-09,3.035,
2009-10,3.075,
2009-11,3.190,
2009-12,3.092,
2010-01,3.101,
2010-02,3.138,
2010-03,3.232,
2010-04,3.371,
2010-05,3.447,
2010-06,3.662,
2010-07,3.795,
2010-08,3.827,
2010-09,3.855,
2010-10,3.770,
2010-11,3.794,
2010-12,3.723,
2011-01,3.647,
2011-02,3.684,
2011-03,3.795,
2011-04,3.974,
2011-05,4.067,
2011-06,4.211,
2011-07,4.342,
2011-08,4.465,
2011-09,4.860,
2011-10,4.999,
2011-11,5.225,
2011-12,5.176,
2012-01,5.252,
2012-02,5.430,
2012-03,5.591,
2012-04,5.631,
2012-05,5.499,
2012-06,5.757,
2012-07,5.825,
2012-08,5.628,
2012-09,5.902,
2012-10,5.866,
2012-11,5.914,
2012-12,5.951,
2013-01,5.868,
2013-02,6.052,
2013-03,6.255,
2013-04,6.455,
2013-05,6.502,
2013-06,6.819,
2013-07,6.886,
2013-08,7.139,
2013-09,7.009,
2013-10,7.016,
2013-11,7.052,
2013-12,6.984,
2014-01,6.900,
2014-02,6.992,
2014-03,7.050,
2014-04,7.039,
2014-05,7.029,
2014-06,7.073,
2014-07,7.306,
2014-08,7.422,
2014-09,7.509,
2014-10,7.896,
2014-11,7.710,
2014-12,7.922,
