"",BBK01.OEAC34P,BBK01.OEAC34P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:16,
2002-01,0.059,
2002-04,0.056,
2002-07,0.058,
2002-10,0.056,
2003-01,0.046,
2003-04,0.045,
2003-07,0.037,
2003-10,0.034,
2004-01,0.032,
2004-04,0.036,
2004-07,0.036,
2004-10,0.034,
2005-01,0.033,
2005-04,0.032,
2005-07,0.031,
2005-10,0.031,
2006-01,0.033,
2006-04,0.033,
2006-07,0.034,
2006-10,0.043,
2007-01,0.042,
2007-04,0.042,
2007-07,0.040,
2007-10,0.040,
2008-01,0.042,
2008-04,0.039,
2008-07,0.038,
2008-10,0.039,
2009-01,0.055,
2009-04,0.052,
2009-07,0.060,
2009-10,0.058,
2010-01,0.040,
2010-04,0.040,
2010-07,0.039,
2010-10,0.047,
2011-01,0.058,
2011-04,0.057,
2011-07,0.073,
2011-10,0.080,
2012-01,0.089,
2012-04,0.085,
2012-07,0.065,
2012-10,0.069,
2013-01,0.076,
2013-04,0.069,
2013-07,0.075,
2013-10,0.078,
2014-01,0.089,
2014-04,0.081,
2014-07,0.086,
