"",BBK01.TVD435,BBK01.TVD435_FLAGS
"",Deposits of non-banks in the euro area / in the home country / At agreed notice / Total / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:21:12,
1980-01,0,
1980-02,-899,
1980-03,-1503,
1980-04,-2457,
1980-05,-1130,
1980-06,-241,
1980-07,-1448,
1980-08,409,
1980-09,371,
1980-10,750,
1980-11,693,
1980-12,15314,
1981-01,-2321,
1981-02,-797,
1981-03,-3955,
1981-04,-2107,
1981-05,-1854,
1981-06,-1446,
1981-07,-3015,
1981-08,-947,
1981-09,-972,
1981-10,167,
1981-11,961,
1981-12,17828,
1982-01,-1547,
1982-02,620,
1982-03,-3,
1982-04,509,
1982-05,83,
1982-06,47,
1982-07,-1613,
1982-08,40,
1982-09,379,
1982-10,1415,
1982-11,1419,
1982-12,19216,
1983-01,-74,
1983-02,1935,
1983-03,715,
1983-04,1210,
1983-05,-68,
1983-06,-366,
1983-07,-2181,
1983-08,177,
1983-09,-305,
1983-10,721,
1983-11,754,
1983-12,15316,
1984-01,-2923,
1984-02,-146,
1984-03,-68,
1984-04,-409,
1984-05,-734,
1984-06,-292,
1984-07,-2496,
1984-08,-296,
1984-09,-162,
1984-10,992,
1984-11,1134,
1984-12,15919,
1985-01,5,
1985-02,1127,
1985-03,-350,
1985-04,-602,
1985-05,-1004,
1985-06,110,
1985-07,-1424,
1985-08,544,
1985-09,832,
1985-10,875,
1985-11,522,
1985-12,15675,
1986-01,-833,
1986-02,1302,
1986-03,851,
1986-04,1074,
1986-05,222,
1986-06,568,
1986-07,-1018,
1986-08,1212,
1986-09,630,
1986-10,1863,
1986-11,1627,
1986-12,15550,
1987-01,324,
1987-02,1249,
1987-03,431,
1987-04,-106,
1987-05,-13,
1987-06,354,
1987-07,-941,
1987-08,592,
1987-09,49,
1987-10,324,
1987-11,554,
1987-12,14287,
1988-01,866,
1988-02,1182,
1988-03,-169,
1988-04,153,
1988-05,-276,
1988-06,-288,
1988-07,-1099,
1988-08,-459,
1988-09,-706,
1988-10,205,
1988-11,-35,
1988-12,11939,
1989-01,-3440,
1989-02,-1824,
1989-03,-3083,
1989-04,-2620,
1989-05,-1953,
1989-06,-1741,
1989-07,-3335,
1989-08,-1313,
1989-09,-766,
1989-10,-1473,
1989-11,-1599,
1989-12,13177,
1990-01,-6110,
1990-02,-2237,
1990-03,-3328,
1990-04,-2635,
1990-05,-2709,
1990-06,-891,
1990-07,-6796,
1990-08,-3675,
1990-09,-1489,
1990-10,-2210,
1990-11,-1425,
1990-12,16774,
1991-01,-4297,
1991-02,-1803,
1991-03,-1072,
1991-04,-2873,
1991-05,-1665,
1991-06,-1008,
1991-07,-3477,
1991-08,88,
1991-09,253,
1991-10,756,
1991-11,1435,
1991-12,20316,
1992-01,-3698,
1992-02,-167,
1992-03,-357,
1992-04,-1415,
1992-05,-407,
1992-06,124,
1992-07,-1224,
1992-08,-39,
1992-09,-816,
1992-10,-20,
1992-11,602,
1992-12,19352,
1993-01,-249,
1993-02,2774,
1993-03,1887,
1993-04,456,
1993-05,1271,
1993-06,1207,
1993-07,770,
1993-08,2614,
1993-09,3201,
1993-10,3660,
1993-11,4490,
1993-12,26892,
1994-01,3008,
1994-02,2861,
1994-03,1582,
1994-04,1200,
1994-05,1860,
1994-06,2232,
1994-07,2108,
1994-08,2471,
1994-09,2453,
1994-10,2164,
1994-11,2991,
1994-12,19753,
1995-01,-1936,
1995-02,2509,
1995-03,1890,
1995-04,1908,
1995-05,2348,
1995-06,3017,
1995-07,3181,
1995-08,3057,
1995-09,3852,
1995-10,5018,
1995-11,5034,
1995-12,23454,
1996-01,7515,
1996-02,7053,
1996-03,4126,
1996-04,2275,
1996-05,1580,
1996-06,1013,
1996-07,541,
1996-08,1634,
1996-09,1959,
1996-10,3007,
1996-11,2750,
1996-12,21420,
1997-01,3651,
1997-02,2849,
1997-03,1181,
1997-04,-1651,
1997-05,29,
1997-06,-1022,
1997-07,-887,
1997-08,237,
1997-09,-86,
1997-10,96,
1997-11,1446,
1997-12,19438,
1998-01,1238,
1998-02,2061,
1998-03,-1281,
1998-04,-2887,
1998-05,-1468,
1998-06,-1504,
1998-07,-1572,
1998-08,-763,
1998-09,-883,
1998-10,1412,
1998-11,1813,
1998-12,20549,
1999-01,831,
1999-02,943,
1999-03,-2558,
1999-04,-1012,
1999-05,-1264,
1999-06,-2674,
1999-07,-2634,
1999-08,-2457,
1999-09,-816,
1999-10,-2115,
1999-11,-3145,
1999-12,11599,
2000-01,-5115,
2000-02,-3968,
2000-03,-5540,
2000-04,-6523,
2000-05,-5875,
2000-06,-5379,
2000-07,-4981,
2000-08,-3868,
2000-09,-2732,
2000-10,-3804,
2000-11,-3451,
2000-12,10765,
2001-01,-4137,
2001-02,-2113,
2001-03,-1647,
2001-04,-2890,
2001-05,-2754,
2001-06,-1195,
2001-07,-2379,
2001-08,-1224,
2001-09,231,
2001-10,984,
2001-11,1797,
2001-12,16387,
2002-01,-1165,
2002-02,-1409,
2002-03,-1167,
2002-04,-8982,
2002-05,-1680,
2002-06,-1210,
2002-07,-1381,
2002-08,290,
2002-09,519,
2002-10,1397,
2002-11,2716,
2002-12,12849,
2003-01,2144,
2003-02,1810,
2003-03,68,
2003-04,-1420,
2003-05,-790,
2003-06,-378,
2003-07,73,
2003-08,1254,
2003-09,231,
2003-10,1131,
2003-11,939,
2003-12,9990,
2004-01,288,
2004-02,878,
2004-03,-66,
2004-04,-232,
2004-05,-602,
2004-06,-607,
2004-07,654,
2004-08,679,
2004-09,-140,
2004-10,1100,
2004-11,783,
2004-12,10409,
2005-01,663,
2005-02,838,
2005-03,-1011,
2005-04,-345,
2005-05,-779,
2005-06,-1397,
2005-07,-765,
2005-08,-1491,
2005-09,-1471,
2005-10,-1586,
2005-11,-1177,
2005-12,7360,
2006-01,-591,
2006-02,-164,
2006-03,-1230,
2006-04,-1625,
2006-05,-2341,
2006-06,-1284,
2006-07,-2931,
2006-08,-2920,
2006-09,-2577,
2006-10,-2707,
2006-11,-3545,
2006-12,5081,
2007-01,-4380,
2007-02,-1829,
2007-03,-1777,
2007-04,-3934,
2007-05,-4472,
2007-06,-3472,
2007-07,-5104,
2007-08,-3734,
2007-09,-2999,
2007-10,-3634,
2007-11,-3107,
2007-12,7334,
2008-01,-4917,
2008-02,-2944,
2008-03,-3739,
2008-04,-4065,
2008-05,-3451,
2008-06,-2868,
2008-07,-5578,
2008-08,-4262,
2008-09,-4358,
2008-10,1544,
2008-11,2579,
2008-12,11830,
2009-01,3781,
2009-02,5301,
2009-03,3534,
2009-04,3312,
2009-05,3912,
2009-06,4658,
2009-07,5782,
2009-08,5282,
2009-09,4336,
2009-10,6629,
2009-11,3839,
2009-12,8888,
2010-01,3168,
2010-02,5240,
2010-03,1844,
2010-04,95,
2010-05,227,
2010-06,-632,
2010-07,1485,
2010-08,-63,
2010-09,260,
2010-10,1317,
2010-11,2558,
2010-12,8539,
2011-01,2179,
2011-02,2124,
2011-03,968,
2011-04,-2126,
2011-05,-2387,
2011-06,-2129,
2011-07,-1221,
2011-08,-1556,
2011-09,-1537,
2011-10,-428,
2011-11,-1123,
2011-12,4625,
2012-01,1127,
2012-02,2563,
2012-03,-399,
2012-04,-1512,
2012-05,-776,
2012-06,-1069,
2012-07,-153,
2012-08,-538,
2012-09,-1234,
2012-10,-569,
2012-11,-721,
2012-12,4763,
2013-01,-847,
2013-02,-141,
2013-03,-2164,
2013-04,-2149,
2013-05,-1572,
2013-06,-1056,
2013-07,-1541,
2013-08,-670,
2013-09,-1077,
2013-10,-11,
2013-11,-37,
2013-12,3917,
2014-01,-1027,
2014-02,718,
2014-03,-1246,
2014-04,-1895,
2014-05,-700,
2014-06,-1446,
2014-07,-185,
2014-08,1509,
2014-09,629,
2014-10,-444,
2014-11,-742,
2014-12,2402,
2015-01,-1121,
