"",BBFB1.Q.N.DE.IE.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:36,
1991-01,1607.249,
1991-04,654.387,
1991-07,785.029,
1991-10,706.604,
1992-01,558.660,
1992-04,846.582,
1992-07,-942.505,
1992-10,-475.043,
1993-01,1815.715,
1993-04,-154.611,
1993-07,516.716,
1993-10,597.789,
1994-01,1077.597,
1994-04,1033.019,
1994-07,355.355,
1994-10,606.357,
1995-01,921.064,
1995-04,1719.685,
1995-07,-259.396,
1995-10,3688.292,
1996-01,964.390,
1996-04,-114.605,
1996-07,379.001,
1996-10,692.504,
1997-01,946.074,
1997-04,2672.250,
1997-07,1506.128,
1997-10,5400.510,
1998-01,-892.645,
1998-04,3363.430,
1998-07,2678.675,
1998-10,-2656.849,
1999-01,3488.832,
1999-04,905.554,
1999-07,-644.401,
1999-10,606.727,
2000-01,919.548,
2000-04,3510.409,
2000-07,3704.876,
2000-10,-749.946,
2001-01,3163.699,
2001-04,2699.275,
2001-07,2063.747,
2001-10,1331.481,
2002-01,4307.891,
2002-04,587.311,
2002-07,4366.397,
2002-10,-768.135,
2003-01,2434.227,
2003-04,4934.611,
2003-07,5979.487,
2003-10,1379.721,
2004-01,4426.498,
2004-04,5609.809,
2004-07,15097.680,
2004-10,6320.096,
2005-01,6734.063,
2005-04,15994.363,
2005-07,2050.813,
2005-10,4451.390,
2006-01,-2505.136,
2006-04,10159.855,
2006-07,2315.574,
2006-10,9472.164,
2007-01,4441.479,
2007-04,5196.587,
2007-07,17327.033,
2007-10,7974.676,
2008-01,18323.226,
2008-04,7542.412,
2008-07,-1927.035,
2008-10,53492.356,
2009-01,3715.926,
2009-04,-4025.075,
2009-07,1618.080,
2009-10,2378.509,
2010-01,4769.914,
2010-04,12908.304,
2010-07,-628.807,
2010-10,-75514.050,
2011-01,-2640.553,
2011-04,636.382,
2011-07,-1445.581,
2011-10,8982.284,
2012-01,6554.751,
2012-04,-2374.669,
2012-07,-3022.278,
2012-10,1037.902,
2013-01,-1489.547,
2013-04,687.351,
2013-07,-16329.444,
2013-10,333.805,
2014-01,-3578.354,Provisional value
2014-04,706.768,Provisional value
2014-07,-317.775,Provisional value
2014-10,941.379,Provisional value
