"",BBK01.OEHB22U,BBK01.OEHB22U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:39,
2002-01,0.087,
2002-04,0.069,
2002-07,0.064,
2002-10,0.062,
2003-01,0.077,
2003-04,0.098,
2003-07,0.096,
2003-10,0.100,
2004-01,0.093,
2004-04,0.105,
2004-07,0.099,
2004-10,0.098,
2005-01,0.094,
2005-04,0.096,
2005-07,0.074,
2005-10,0.074,
2006-01,0.076,
2006-04,0.081,
2006-07,0.069,
2006-10,0.088,
2007-01,0.086,
2007-04,0.099,
2007-07,0.067,
2007-10,0.081,
2008-01,0.078,
2008-04,0.084,
2008-07,0.049,
2008-10,0.078,
2009-01,0.071,
2009-04,0.103,
2009-07,0.070,
2009-10,0.101,
2010-01,0.105,
2010-04,0.131,
2010-07,0.105,
2010-10,0.137,
2011-01,0.133,
2011-04,0.137,
2011-07,0.103,
2011-10,0.105,
2012-01,0.097,
2012-04,0.120,
2012-07,0.091,
2012-10,0.128,
2013-01,0.168,
2013-04,0.140,
2013-07,0.171,
2013-10,0.118,
2014-01,0.162,
2014-04,0.132,
2014-07,0.156,
