"",BBK01.OUM175,BBK01.OUM175_FLAGS
"",Deposits and borrowing from resident households / Total / Mortgage banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:19:26,
1999-01,5.105,
1999-02,4.888,
1999-03,4.873,
1999-04,4.729,
1999-05,5.202,
1999-06,4.950,
1999-07,4.616,
1999-08,4.580,
1999-09,4.604,
1999-10,4.466,
1999-11,4.637,
1999-12,4.521,
2000-01,4.497,
2000-02,4.463,
2000-03,4.443,
2000-04,4.337,
2000-05,4.308,
2000-06,4.401,
2000-07,4.275,
2000-08,4.329,
2000-09,4.333,
2000-10,4.256,
2000-11,4.275,
2000-12,4.279,
2001-01,4.234,
2001-02,4.334,
2001-03,4.282,
2001-04,4.246,
2001-05,4.193,
2001-06,4.159,
2001-07,4.174,
2001-08,4.089,
2001-09,4.161,
2001-10,3.934,
2001-11,4.049,
2001-12,3.999,
2002-01,3.952,
2002-02,4.039,
2002-03,3.967,
2002-04,3.784,
2002-05,3.822,
2002-06,3.819,
2002-07,3.779,
2002-08,3.791,
2002-09,3.742,
2002-10,3.633,
2002-11,3.704,
2002-12,3.764,
2003-01,3.806,
2003-02,3.789,
2003-03,3.856,
2003-04,3.717,
2003-05,3.692,
2003-06,3.755,
2003-07,3.710,
2003-08,3.643,
2003-09,3.749,
2003-10,3.760,
2003-11,2.116,
2003-12,2.051,
2004-01,2.174,
2004-02,2.355,
2004-03,2.439,
2004-04,2.464,
2004-05,2.409,
2004-06,2.456,
2004-07,2.094,
2004-08,2.202,
2004-09,2.412,
2004-10,2.173,
2004-11,2.268,
2004-12,2.152,
2005-01,2.175,
2005-02,2.079,
2005-03,2.010,
2005-04,2.038,
2005-05,0.639,
2005-06,0.630,
2005-07,0.675,
2005-08,0.540,
2005-09,1.992,
2005-10,2.080,
2005-11,1.979,
2005-12,1.955,
2006-01,1.863,
2006-02,1.896,
2006-03,1.991,
2006-04,2.466,
2006-05,1.828,
2006-06,1.847,
2006-07,1.802,
2006-08,1.810,
2006-09,1.909,
2006-10,2.128,
2006-11,1.752,
2006-12,1.718,
2007-01,1.824,
2007-02,1.669,
2007-03,1.722,
2007-04,1.868,
2007-05,1.704,
2007-06,1.937,
2007-07,1.762,
2007-08,2.184,
2007-09,1.757,
2007-10,1.622,
2007-11,1.756,
2007-12,1.672,
2008-01,1.722,
2008-02,1.725,
2008-03,1.773,
2008-04,2.008,
2008-05,2.003,
2008-06,2.081,
2008-07,2.018,
2008-08,1.931,
2008-09,1.954,
2008-10,2.029,
2008-11,1.991,
2008-12,2.125,
2009-01,2.416,
2009-02,2.407,
2009-03,2.492,
2009-04,2.549,
2009-05,2.753,
2009-06,2.802,
2009-07,3.161,
2009-08,3.259,
2009-09,3.308,
2009-10,3.506,
2009-11,3.367,
2009-12,3.454,
2010-01,3.635,
2010-02,3.616,
2010-03,3.746,
2010-04,3.822,
2010-05,3.612,
2010-06,3.736,
2010-07,3.587,
2010-08,3.564,
2010-09,3.565,
2010-10,3.515,
2010-11,3.493,
2010-12,3.660,
2011-01,3.557,
2011-02,3.512,
2011-03,3.526,
2011-04,3.557,
2011-05,3.622,
2011-06,3.410,
2011-07,3.501,
2011-08,3.425,
2011-09,3.459,
2011-10,3.397,
2011-11,3.403,
2011-12,3.367,
2012-01,3.420,
2012-02,3.376,
2012-03,3.546,
2012-04,3.449,
2012-05,3.453,
2012-06,3.504,
2012-07,3.524,
2012-08,3.622,
2012-09,3.840,
2012-10,3.910,
2012-11,3.977,
2012-12,4.009,
2013-01,3.998,
2013-02,4.189,
2013-03,4.518,
2013-04,4.524,
2013-05,4.599,
2013-06,4.636,
2013-07,4.545,
2013-08,4.595,
2013-09,4.590,
2013-10,4.637,
2013-11,4.740,
2013-12,4.906,
2014-01,4.832,
2014-02,5.079,
2014-03,5.055,
2014-04,5.286,
2014-05,5.347,
2014-06,5.220,
2014-07,5.262,
2014-08,5.260,
2014-09,5.152,
2014-10,5.108,
2014-11,5.295,
2014-12,5.183,Provisional value
