"",BBK01.OELK01S,BBK01.OELK01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:14,
2002-01,0.315,
2002-04,0.305,
2002-07,0.316,
2002-10,0.332,
2003-01,0.309,
2003-04,0.313,
2003-07,0.324,
2003-10,0.343,
2004-01,0.326,
2004-04,0.328,
2004-07,0.343,
2004-10,0.358,
2005-01,0.329,
2005-04,0.335,
2005-07,0.351,
2005-10,0.379,
2006-01,0.348,
2006-04,0.357,
2006-07,0.369,
2006-10,0.403,
2007-01,0.476,
2007-04,0.493,
2007-07,0.463,
2007-10,0.487,
2008-01,0.455,
2008-04,0.449,
2008-07,0.465,
2008-10,0.495,
2009-01,0.458,
2009-04,0.466,
2009-07,0.511,
2009-10,0.573,
2010-01,0.547,
2010-04,0.553,
2010-07,0.594,
2010-10,0.637,
2011-01,0.587,
2011-04,0.592,
2011-07,0.619,
2011-10,0.667,
2012-01,0.615,
2012-04,0.640,
2012-07,0.682,
2012-10,0.711,
2013-01,0.670,
2013-04,0.671,
2013-07,0.729,
2013-10,0.758,
2014-01,0.719,
2014-04,0.723,
2014-07,0.788,
