"",BBAI3.Q.DE.N.V.LE.F42A.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F42A.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Loans over 1 year and up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:46,
2005-10,1942,
2006-01,1921,
2006-04,1940,
2006-07,1987,
2006-10,2006,
2007-01,1985,
2007-04,2025,
2007-07,2075,
2007-10,2182,
2008-01,2113,
2008-04,2084,
2008-07,2099,
2008-10,2149,
2009-01,2183,
2009-04,2210,
2009-07,2230,
2009-10,2327,
2010-01,2356,
2010-04,2402,
2010-07,2420,
2010-10,2391,
2011-01,2504,
2011-04,2525,
2011-07,2536,
2011-10,2581,
2012-01,2609,
2012-04,2617,
2012-07,2635,
2012-10,2662,
2013-01,2663,
2013-04,2657,
2013-07,2712,
2013-10,2711,
2014-01,2700,
2014-04,2709,
2014-07,2699,
