"",BBK01.OECB17L,BBK01.OECB17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:31,
2002-01,6.361,
2002-04,6.187,
2002-07,6.540,
2002-10,6.261,
2003-01,5.925,
2003-04,6.030,
2003-07,5.856,
2003-10,5.777,
2004-01,5.647,
2004-04,5.557,
2004-07,5.569,
2004-10,5.543,
2005-01,7.233,
2005-04,7.385,
2005-07,7.433,
2005-10,7.591,
2006-01,7.545,
2006-04,7.607,
2006-07,7.730,
2006-10,7.668,
2007-01,7.509,
2007-04,8.539,
2007-07,8.047,
2007-10,7.957,
2008-01,7.970,
2008-04,8.036,
2008-07,8.233,
2008-10,8.081,
2009-01,7.885,
2009-04,9.497,
2009-07,9.531,
2009-10,9.694,
2010-01,9.340,
2010-04,9.141,
2010-07,9.445,
2010-10,9.562,
2011-01,9.186,
2011-04,9.126,
2011-07,9.133,
2011-10,9.054,
2012-01,9.118,
2012-04,9.185,
2012-07,9.452,
2012-10,9.409,
2013-01,9.342,
2013-04,9.534,
2013-07,9.572,
2013-10,9.742,
2014-01,9.839,
2014-04,9.852,
2014-07,9.988,
