"",BBK01.OEAC13Q,BBK01.OEAC13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:59,
2002-01,3.939,
2002-04,3.920,
2002-07,3.820,
2002-10,3.970,
2003-01,3.995,
2003-04,4.567,
2003-07,3.447,
2003-10,3.526,
2004-01,3.474,
2004-04,2.760,
2004-07,2.601,
2004-10,2.543,
2005-01,2.519,
2005-04,2.456,
2005-07,2.529,
2005-10,2.506,
2006-01,2.462,
2006-04,2.446,
2006-07,2.457,
2006-10,2.505,
2007-01,2.479,
2007-04,2.522,
2007-07,2.537,
2007-10,2.541,
2008-01,2.499,
2008-04,2.525,
2008-07,2.555,
2008-10,2.586,
2009-01,2.595,
2009-04,2.677,
2009-07,2.751,
2009-10,2.815,
2010-01,2.968,
2010-04,3.094,
2010-07,2.016,
2010-10,3.337,
2011-01,2.172,
2011-04,2.136,
2011-07,2.063,
2011-10,2.134,
2012-01,2.088,
2012-04,2.143,
2012-07,2.176,
2012-10,2.328,
2013-01,2.318,
2013-04,2.344,
2013-07,2.358,
2013-10,2.401,
2014-01,2.421,
2014-04,2.509,
2014-07,2.583,
