"",BBK01.OEXL02N,BBK01.OEXL02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:55,
2002-01,20.299,
2002-04,20.963,
2002-07,20.110,
2002-10,21.399,
2003-01,21.563,
2003-04,21.751,
2003-07,22.114,
2003-10,23.809,
2004-01,22.696,
2004-04,23.499,
2004-07,23.161,
2004-10,8.579,
2005-01,11.832,
2005-04,11.799,
2005-07,12.000,
2005-10,12.715,
2006-01,12.374,
2006-04,12.681,
2006-07,11.522,
2006-10,11.338,
2007-01,11.061,
2007-04,11.267,
2007-07,11.025,
2007-10,11.157,
2008-01,11.139,
2008-04,10.814,
2008-07,10.594,
2008-10,10.899,
2009-01,11.560,
2009-04,12.960,
2009-07,13.408,
2009-10,14.331,
2010-01,14.837,
2010-04,14.903,
2010-07,14.893,
2010-10,15.628,
2011-01,15.054,
2011-04,15.242,
2011-07,15.573,
2011-10,15.481,
2012-01,15.553,
2012-04,15.534,
2012-07,17.085,
2012-10,17.681,
2013-01,18.443,
2013-04,20.149,
2013-07,20.397,
2013-10,21.015,
2014-01,20.676,
2014-04,21.472,
2014-07,21.953,
